log_id,order_id,event_seq,event_type,event_timestamp,hub_code,vehicle_id,scanned_by_emp,location_city,remarks,exception_code
LOG-0061557,ORD-011734,2.0,PICKED_UP,2025-08-06 01:09:42,HUB-NAG,VEH-0606,EMP-1190,Mumbai,"Customer unavailable, left with security",
LOG-0039779,ORD-007583,3.0,AT_HUB,2024-10-11 09:07:36,HUB-MYS,VEH-0147,EMP-0079,Visakhapatnam,,
LOG-0021520,ORD-004102,2.0,PICKED_UP,2025-02-27 01:56:46,HUB-VIS,VEH-0699,EMP-0255,Gurugram,,
LOG-0029286,ORD-005587,2.0,PICKED_UP,2024-10-23 02:12:58,HUB-COI,VEH-0648,EMP-0129,Visakhapatnam,"Address unclear,
rider called customer twice",
LOG-0006565,ORD-001261,4.0,DELIVERED,2024-09-14 02:43:00,HUB-LUC,VEH-0717,EMP-0275,Mumbai,"Address unclear,
rider called customer twice",
LOG-0030234,ORD-005768,3.0,IN_TRANSIT,2024-03-04 21:17:00,HUB-COI,VEH-0261,EMP-0609,Gurugram,Weather hold - heavy rain at hub,
LOG-0038310,ORD-007304,2.0,PICKED_UP,2024-04-12 17:45:00,HUB-JAI,VEH-0586,EMP-0898,Hyderabad,"Customer unavailable, left with security",
LOG-0034922,ORD-006659,2.0,PICKED_UP,2024-12-16 13:41:00,HUB-MYS,VEH-0618,EMP-1132,Bhubaneswar,"Address unclear,
rider called customer twice",
LOG-0007038,ORD-001353,5.0,OUT_FOR_DELIVERY,2024-08-07 07:04:38,HUB-PUN,VEH-0699,EMP-0910,Mysuru,"Address unclear,
rider called customer twice",
LOG-0057097,ORD-010891,5.0,AT_HUB,2025-03-31 14:51:46,HUB-PUN,VEH-0451,EMP-0639,Chandigarh,Weather hold - heavy rain at hub,
LOG-0069180,ORD-013186,2.0,PICKED_UP,2024-02-05 06:18:00,HUB-CHE,VEH-0616,EMP-0278,Kolkata,Weather hold - heavy rain at hub,EX-07
LOG-0057408,ORD-010950,5.0,DELIVERED,2024-04-22 00:00:00,HUB-VIS,VEH-0435,EMP-0785,Delhi,"Address unclear,
rider called customer twice",
LOG-0042852,ORD-008170,6.0,DELIVERED,2024-03-25 13:56:40,HUB-JAI,VEH-0694,EMP-0799,Ahmedabad,"Consignee said ""call before arrival""",
LOG-0040321,ORD-007686,5.0,IN_TRANSIT,2025-10-01 13:14:05,HUB-KOC,VEH-0129,EMP-0915,Mumbai,OK,
LOG-0013733,ORD-002621,4.0,IN_TRANSIT,2025-05-26 17:56:44,HUB-DEL,VEH-0493,EMP-0455,Bengaluru,,
LOG-0027435,ORD-005232,4.0,OUT_FOR_DELIVERY,2024-06-29 12:07:34,HUB-BEN,VEH-0181,EMP-0717,Chandigarh,,
LOG-0058499,ORD-011155,3.0,AT_HUB,2024-05-11 00:41:18,HUB-CHA,VEH-0584,EMP-0593,Coimbatore,"Drone aborted landing, obstacle detected",
LOG-0005844,ORD-001124,1.0,ORDER_PLACED,2024-01-24 14:54:18,HUB-MYS,VEH-0686,EMP-0513,Mumbai,"Drone aborted landing, obstacle detected",
LOG-0056264,ORD-010733,2.0,PICKED_UP,2025-06-18 20:21:57,HUB-GUW,VEH-0709,EMP-0480,Bhubaneswar,,
LOG-0052154,ORD-009946,3.0,AT_HUB,2024-03-04 13:40:45,HUB-HYD,VEH-0326,EMP-0080,Chennai,Handed over to last-mile partner,EX-01
LOG-0047637,ORD-009083,2.0,PICKED UP,,HUB-HYD,VEH-0720,EMP-1111,Bhubaneswar,"Address unclear,
rider called customer twice",
LOG-0038111,ORD-007266,3.0,AT_HUB,2024-01-12 20:01:00,HUB-COI,VEH-0588,EMP-0978,Ahmedabad,"Consignee said ""call before arrival""",
LOG-0047209,ORD-009002,4.0,DELIVERED,2024-05-16 22:46:00,HUB-MUM,VEH-0718,EMP-0885,Jaipur,"Drone aborted landing, obstacle detected",
LOG-0067407,ORD-012849,,ORDER_PLACED,2025-06-06 00:43:32,HUB-GUR,VEH-0684,EMP-0926,Gurugram,,
LOG-0031180,ORD-005947,6.0,DELIVERED,2025-03-28 14:55:23,HUB-KOC,VEH-0646,EMP-0815,Pune,,
LOG-0063191,ORD-012048,2.0,PICKED_UP,2024-03-17 14:54:00,HUB-JAI,VEH-0608,EMP-0223,Delhi,Handed over to last-mile partner,EX-07
LOG-0055076,ORD-010503,3.0,IN_TRANSIT,2025-08-05 12:20:55,HUB-JAI,VEH-0203,EMP-0268,Gurugram,Handed over to last-mile partner,
LOG-0047598,ORD-009076,1.0,ORDER_PLACED,2024-06-14 00:00:00,HUB-NAG,VEH-0709,EMP-1089,Hyderabad,OK,
LOG-0024630,ORD-004697,3.0,AT_HUB,2024-03-29 15:24:52,HUB-CHE,VEH-0613,EMP-0183,Bhubaneswar,Handed over to last-mile partner,
LOG-0008865,ORD-001702,1.0,ORDER_PLACED,2024-12-09 11:22:29,HUB-BHU,VEH-0543,EMP-0608,Guwahati,,
LOG-0005934,ORD-001141,1.0,ORDER_PLACED,2024-09-19 00:00:00,HUB-BEN,VEH-0578,EMP-0235,Coimbatore,Handed over to last-mile partner,
LOG-0036980,ORD-007051,1.0,ORDER_PLACED,,HUB-CHE,VEH-0654,EMP-0402,Lucknow,OK,
LOG-0055212,ORD-010530,4.0,OUT_FOR_DELIVERY,2025-06-22 18:45:00,HUB-COI,VEH-0659,EMP-1015,Delhi,"Address unclear,
rider called customer twice",EX-01
LOG-0050310,ORD-009593,4.0,AT_HUB,2024-02-21 11:29:05,HUB-HYD,VEH-0664,EMP-0216,Mumbai,Weather hold - heavy rain at hub,
LOG-0070581,ORD-013456,5.0,AT_HUB,2025-04-28 23:51:00,HUB-GUR,VEH-0627,EMP-0133,Delhi,"Address unclear,
rider called customer twice",
LOG-0007989,ORD-001535,5.0,AT_HUB,2024-02-27 05:00:40,HUB-NAG,VEH-0657,EMP-0678,Bengaluru,"Address unclear,
rider called customer twice",
LOG-0001178,ORD-000226,3.0,AT_HUB,2024-11-19 14:06:52,HUB-AHM,VEH-0716,EMP-1189,Visakhapatnam,"Address unclear,
rider called customer twice",EX-01
LOG-0030566,ORD-005829,5.0,OUT_FOR_DELIVERY,2025-03-05 13:31:00,HUB-MAD,VEH-0076,EMP-1183,Chennai,,
LOG-0024712,ORD-004713,4.0,OUT_FOR_DELIVERY,2024-04-09 16:37:06,HUB-VIS,VEH-0626,EMP-0905,Bhubaneswar,"Address unclear,
rider called customer twice",
LOG-0063293,ORD-012067,1.0,ORDER_PLACED,2025-01-03 19:56:00,HUB-VIS,VEH-0403,EMP-0490,Mysuru,,
LOG-0014475,ord-002762,3.0,AT_HUB,2025-11-04 05:38:35,HUB-CHA,VEH-0698,EMP-0546,Mumbai,"Consignee said ""call before arrival""",
LOG-0051868,ORD-009892,3.0,AT_HUB,2025-04-24 20:41:44,HUB-JAI,VEH-0178,EMP-0809,Hyderabad,"Customer unavailable, left with security",
LOG-0070687,ORD-013476,3.0,IN_TRANSIT,2024-05-23 13:09:02,HUB-DEL,VEH-0176,EMP-0776,Mumbai,Handed over to last-mile partner,
LOG-0029629,ORD-005652,6.0,DELIVERED,2024-10-01 22:44:07,HUB-MYS,VEH-0434,EMP-0731,Gurugram,"Address unclear,
rider called customer twice",
LOG-0036252,ORD-006912,5.0,IN_TRANSIT,2024-02-18 02:59:15,HUB-CHE,VEH-0673,EMP-0140,Bengaluru,OK,
LOG-0036335,ORD-006928,4.0,IN_TRANSIT,2025-06-23 18:28:04,HUB-LUC,VEH-0607,EMP-0155,Ahmedabad,,
LOG-0025077,ORD-004782,4.0,OUT_FOR_DELIVERY,2025-04-05 10:20:23,HUB-KOC,VEH-0693,EMP-0848,Nagpur,"Drone aborted landing, obstacle detected",
LOG-0051585,ORD-009837,5.0,DELIVERED,2024-05-16 19:45:40,HUB-BHU,VEH-0608,EMP-0989,Bhubaneswar,"Address unclear,
rider called customer twice",
LOG-0008895,ORD-001708,1.0,ORDER_PLACED,2025-06-07 10:48:00,HUB-GUW,VEH-0134,EMP-0742,Delhi,,EX-07
LOG-0012282,ORD-002347,1.0,ORDER_PLACED,2025-02-14 10:21:00,HUB-HYD,VEH-0652,EMP-1182,Nagpur,"Address unclear,
rider called customer twice",
