flight_id,drone_id,flight_timestamp,flight_duration_min,cumulative_flight_hours,battery_cycles,battery_start_pct,battery_end_pct,battery_health_pct,motor_temp_c,vibration_rms,payload_kg,max_altitude_m,wind_speed_kmph,gps_signal_quality,rotor_rpm_avg,error_codes,route_deviation_m,maintenance_required
FLT-0013233,VEH-0044,,18.2,53.37,112,96.9,24.6,91.6,83.7,2.991,5.39,91.7,19.4,Good,6355.0,,8.1,0
FLT-0008681,VEH-0029,2024-04-06 07:14:50,33.5,942.57,1979,93.9,2.0,40.0,88.6,4.067,4.47,35.3,16.0,Fair,6755.0,E-THERM;E-VIB;E-BATT,54.6,1
FLT-0005512,VEH-0019,2024-05-29 19:07:00,13.3,620.88,1303,94.7,55.8,55.8,79.8,2.486,2.73,105.5,23.9,Poor,6584.0,,10.9,0
FLT-0034850,VEH-0116,2024-06-07 06:50:42,5.6,708.77,1488,92.9,81.8,49.9,64.7,2.033,0.35,68.5,12.8,Good,7154.0,,3.2,0
FLT-0038449,VEH-0129,2024-05-11 11:10:00,13.9,529.8,1112,94.0,44.9,57.2,84.8,3.818,,140.1,28.7,Good,6063.0,E-VIB,29.7,0
FLT-0016653,VEH-0055,2024-12-05 04:25:53,21.8,495.01,1039,98.1,24.3,60.8,83.5,3.14,3.33,145.6,18.3,Good,7176.0,,4.0,0
FLT-0041399,VEH-0138,2024-09-15 14:09:00,,384.96,808,87.0,2.0,70.3,84.4,2.876,4.99,114.5,24.0,Good,6413.0,E-BATT,3.7,0
FLT-0015868,VEH-0052,2024-03-30 00:00:00,,795.42,1670,94.9,3.6,43.1,81.2,2.888,,98.1,16.3,Fair,5290.0,E-BATT,17.3,0
FLT-0019035,VEH-0064,2024-12-05 11:50:00,23.6,916.34,1924,86.2,3.0,40.0,78.2,2.005,4.74,149.5,37.7,Good,6502.0,E-BATT,10.9,0
FLT-0016998,VEH-0056,2024-05-15 03:45:37,4.8,618.41,1298,100.0,89.3,53.0,71.5,2.766,0.64,100.8,11.7,Good,5958.0,,17.3,0
FLT-0029609,VEH-0099,2024-07-27 12:35:00,7.0,787.18,1653,100.0,77.7,40.9,79.8,3.075,2.63,84.1,0.4,Fair,5851.0,,2.9,0
FLT-0020734,VEH-0069,2024-10-28 00:00:00,37.4,798.0,1675,95.1,2.0,40.0,94.7,,0.83,114.9,39.7,Good,5011.0,E-THERM;E-BATT,37.8,1
FLT-0002188,VEH-0008,2024-05-30 00:00:00,36.9,500.92,1051,93.1,2.0,64.5,68.8,2.272,5.48,77.3,5.3,Good,6299.0,E-BATT,2.1,0
FLT-0020816,VEH-0070,2024-03-03 00:00:00,34.8,425.82,894,100.0,2.0,66.0,87.4,3.277,3.0,74.2,23.3,Good,6193.0,E-BATT,0.7,0
FLT-0038602,VEH-0130,2024-01-24 19:36:20,4.6,104.96,220,97.3,85.6,88.5,73.6,,,98.9,20.8,Good,6546.0,,26.3,0
FLT-0012776,VEH-0042,2024-09-25 14:19:28,16.0,472.0,991,96.9,39.1,57.9,96.7,4.246,3.11,39.7,35.6,Poor,6089.0,E-THERM;E-VIB,32.8,1
FLT-0034907,VEH-0116,2024-08-18 06:59:36,22.0,728.83,1530,97.6,11.3,47.7,84.2,3.075,4.95,98.7,37.8,Good,6476.0,E-BATT,22.3,0
FLT-0017595,VEH-0059,2024-02-27 19:43:00,15.0,861.77,1809,100.0,44.8,44.6,66.4,2.094,5.63,125.8,15.0,Poor,6581.0,,0.1,0
FLT-0014066,VEH-0046,2024-05-17 11:00:29,29.8,153.48,322,99.6,40.6,83.8,68.2,2.507,0.21,39.7,11.3,Good,6118.0,,20.7,0
FLT-0029063,VEH-0098,2024-01-29 09:05:00,18.6,568.4,1193,94.1,31.1,60.6,75.2,2.145,4.23,150.7,37.3,Good,6053.0,,17.5,0
FLT-0038188,VEH-0128,2024-04-21 00:00:00,28.3,679.55,1427,95.0,30.5,53.2,60.0,1.859,1.29,157.5,14.9,Poor,6914.0,,14.8,0
FLT-0007683,VEH-0026,2024-12-05 01:03:17,21.4,716.52,1504,100.0,54.2,51.8,65.1,1.417,1.06,117.2,22.2,Good,5472.0,,5.3,1
FLT-0014149,VEH-0046,2024-07-15 18:22:42,15.4,179.95,377,94.7,33.8,80.6,75.7,2.899,4.66,63.8,2.4,Fair,6224.0,,24.8,0
FLT-0033062,VEH-0110,2024-08-15 10:07:00,26.7,603.07,1266,92.1,,57.0,67.6,1.838,0.61,51.1,11.7,Good,5931.0,,17.0,0
FLT-0010413,VEH-0035,2024-02-03 08:37:53,13.1,439.64,923,90.5,53.7,69.8,64.6,1.496,2.93,95.6,35.5,Good,6812.0,,15.9,0
FLT-0005857,VEH-0020,2024-06-14 19:03:53,19.8,704.48,1479,96.9,51.0,48.5,82.6,2.69,0.96,110.9,36.8,Poor,6319.0,,18.5,0
FLT-0017426,VEH-0058,2024-04-29 15:10:46,19.3,303.91,638,96.5,41.4,77.9,70.8,2.115,2.97,151.3,35.8,Good,5901.0,,12.0,0
FLT-0034257,VEH-0114,2024-06-18 09:26:20,6.8,738.94,1551,96.8,65.2,43.3,102.2,4.041,5.79,52.0,40.8,Good,6125.0,E-THERM;E-VIB,45.2,1
FLT-0034608,VEH-0116,2024-01-23 01:24:00,17.4,621.49,1305,99.4,42.3,59.4,66.6,1.829,4.43,132.2,17.7,Poor,5983.0,,1.9,0
FLT-0027533,VEH-0093,2024-02-26 16:45:46,20.6,201.44,423,99.1,14.1,81.9,77.1,3.172,5.68,81.9,19.1,Good,6136.0,,19.2,0
FLT-0032354,VEH-0108,2024-06-19 14:50:35,23.0,532.75,1118,98.8,17.6,62.4,74.8,2.218,4.5,149.6,36.9,Good,6433.0,,35.8,0
FLT-0006163,VEH-0021,2024-06-27 08:39:59,32.5,463.42,973,94.5,2.0,59.7,95.4,3.714,3.53,42.9,17.2,Good,6492.0,E-THERM;E-VIB;E-BATT,29.4,1
FLT-0025369,VEH-0085,2024-07-02 18:49:27,,175.89,369,93.2,,82.1,85.4,3.112,4.37,70.0,33.6,Fair,6272.0,,10.1,0
FLT-0039660,VEH-0133,2024-03-08 22:21:00,10.9,604.76,1269,92.0,57.5,57.5,73.4,2.424,3.48,87.4,18.0,Fair,6789.0,,34.1,0
FLT-0018689,VEH-0063,2024-11-05 04:58:33,5.2,525.55,1103,88.5,68.0,59.9,82.5,2.901,4.87,30.2,4.8,Poor,6650.0,,22.2,0
FLT-0007903,VEH-0027,2024-02-17 12:42:00,30.0,84.84,178,100.0,11.7,93.8,58.0,1.599,3.65,102.0,7.0,Fair,6958.0,E-BATT,20.3,0
FLT-0016678,VEH-0055,2024-05-27 06:23:00,9.0,503.74,1057,94.5,60.7,59.8,83.1,3.75,4.1,91.8,10.7,Poor,5887.0,E-VIB,17.3,0
FLT-0040279,VEH-0135,2024-03-30 11:21:30,27.1,463.94,974,89.3,11.6,65.5,68.9,2.104,2.57,154.1,4.8,Good,5699.0,E-BATT,8.8,0
FLT-0001813,VEH-0007,2024-02-29 00:00:00,8.4,118.62,249,91.4,76.2,89.4,67.6,0.96,0.2,101.7,34.5,Good,6187.0,,24.3,0
FLT-0007641,VEH-0026,2024-04-13 04:58:22,36.0,700.57,1471,95.8,5.0,53.5,72.3,,2.18,42.8,35.9,Good,6759.0,E-BATT,15.6,0
FLT-0011710,VEH-0039,2024-05-08 22:47:17,21.5,101.46,213,92.9,48.8,88.8,75.0,2.141,0.6,90.6,40.9,Poor,6357.0,,1.2,0
FLT-0027100,VEH-0091,2024-07-17 17:26:41,6.6,911.14,1913,90.0,77.3,40.0,61.3,2.043,0.32,46.4,12.3,Good,6489.0,,36.1,0
FLT-0041653,VEH-0139,2024-05-20 20:47:57,25.7,340.3,714,100.0,39.1,72.4,82.3,,1.21,76.5,39.2,Good,5746.0,,27.9,0
FLT-0029563,VEH-0099,2024-06-23 15:32:06,33.2,770.75,1618,91.3,2.0,42.7,88.8,3.374,4.76,71.5,38.9,Good,5996.0,E-THERM;E-BATT,11.1,1
FLT-0010822,VEH-0036,2024-05-05 09:40:00,35.5,249.94,524,92.0,2.0,79.6,69.1,2.539,,115.2,17.6,Good,6474.0,E-BATT,25.2,0
FLT-0025236,VEH-0084,2024-03-07 14:08:00,5.5,494.27,1037,100.0,76.4,62.0,87.1,3.341,5.73,116.0,8.2,Poor,6514.0,,5.8,0
FLT-0015768,VEH-0051,2024-06-19 03:27:01,33.5,226.29,475,89.8,,77.7,77.6,2.285,1.59,31.3,9.1,Fair,6376.0,E-BATT,22.3,0
FLT-0007467,VEH-0025,2024-08-09 06:51:23,16.2,818.13,1718,90.2,43.0,42.7,80.5,2.33,2.61,42.1,38.5,Good,6570.0,,9.5,0
FLT-0015524,VEH-0051,2024-06-01 17:22:08,22.9,142.6,299,96.4,29.2,86.8,67.9,2.317,2.94,111.4,27.7,Good,6192.0,,16.5,0
FLT-0037027,VEH-0124,2024-06-18 14:35:00,12.0,557.48,1170,100.0,59.9,58.9,83.7,2.638,3.62,110.1,22.3,Poor,6412.0,,24.1,0
FLT-0005684,VEH-0020,2024-02-22 03:22:00,24.3,643.39,1351,90.9,5.9,55.2,84.5,2.475,4.35,97.8,28.0,Fair,5653.0,E-BATT,19.1,0
FLT-0007413,VEH-0025,2024-07-30 16:54:00,35.8,799.93,1679,98.3,2.8,44.8,78.7,1.987,2.15,83.3,28.0,Good,,E-BATT,16.1,0
FLT-0033404,VEH-0111,2024-07-20 00:37:10,24.5,342.51,719,94.9,2.0,73.9,85.1,2.861,5.19,154.9,37.9,Good,6424.0,E-BATT,19.6,0
FLT-0002182,VEH-0008,,9.7,497.94,1045,97.7,60.4,64.8,76.3,2.443,5.34,59.6,12.2,Good,6236.0,,19.1,0
FLT-0035773,VEH-0119,2024-07-26 18:04:26,23.7,206.51,433,100.0,5.9,80.1,84.5,3.52,4.95,95.9,32.3,Good,5190.0,E-BATT,10.4,0
FLT-0031932,VEH-0107,2024-03-27 00:00:00,26.3,236.49,496,92.7,2.0,82.2,78.8,2.809,5.61,60.4,31.2,Good,6212.0,E-BATT,9.8,0
FLT-0039540,VEH-0132,2024-07-10 02:07:20,11.6,671.04,1409,100.0,73.0,46.4,79.9,3.175,0.48,34.7,2.7,Poor,6402.0,,49.0,0
FLT-0028203,VEH-0095,2024-03-25 00:00:00,11.9,531.38,1115,95.7,51.9,58.6,84.1,3.203,4.05,44.0,33.1,Poor,6528.0,,4.1,0
FLT-0012823,VEH-0042,2024-10-29 10:11:28,37.7,488.34,1025,95.7,2.0,56.1,98.7,4.764,5.5,82.2,2.9,Poor,5845.0,E-THERM;E-VIB;E-BATT,18.3,1
FLT-0014020,VEH-0046,2024-04-15 19:57:00,28.6,136.45,286,100.0,2.0,85.6,73.9,2.773,3.87,47.4,0.5,Good,6065.0,E-BATT,45.9,0
FLT-0011573,VEH-0039,2024-02-10 06:34:00,37.6,51.16,107,93.0,10.1,94.0,64.2,1.585,1.28,61.4,25.2,Good,5800.0,E-BATT,12.6,0
FLT-0027232,VEH-0092,2024-04-09 17:10:00,15.8,100.53,211,98.2,44.5,89.3,75.7,2.303,4.08,116.4,35.6,Good,5700.0,,17.0,0
FLT-0023604,VEH-0079,2024-05-13 15:22:53,15.2,719.92,1511,96.7,,44.4,91.7,3.413,3.24,33.6,33.8,Poor,6036.0,E-THERM,23.2,1
FLT-0009692,VEH-0032,2024-06-28 06:46:29,18.6,508.1,1066,91.5,21.8,64.2,76.2,2.633,5.12,102.6,29.1,Good,6828.0,,29.7,0
FLT-0014646,VEH-0048,2024-03-04 13:55:40,20.9,873.57,1834,94.8,11.0,40.0,84.5,3.422,4.68,101.2,30.0,Good,6122.0,E-BATT,16.6,0
FLT-0025734,VEH-0086,2024-04-26 07:51:29,27.0,721.78,1515,96.0,2.0,45.3,86.7,3.921,4.15,43.1,18.4,Good,5608.0,E-VIB;E-BATT,33.3,1
FLT-0022585,VEH-0076,2024-03-26 21:47:56,33.6,726.57,1525,100.0,7.4,50.3,70.2,1.919,2.52,46.6,16.8,Good,7173.0,E-BATT,17.8,0
FLT-0031497,VEH-0105,2024-05-06 04:38:27,37.9,586.78,1232,86.4,7.7,58.0,72.9,2.023,0.63,45.7,39.9,Poor,6024.0,E-BATT,27.9,0
FLT-0029540,VEH-0099,2024-09-06 11:19:18,7.1,764.16,1604,93.1,67.3,43.5,82.8,3.089,3.84,124.0,13.1,Fair,6090.0,,14.1,0
FLT-0038003,VEH-0127,2024-03-08 20:21:31,12.7,535.54,1124,92.5,42.6,55.7,93.3,4.146,4.1,94.0,10.9,Good,6520.0,E-THERM;E-VIB,34.3,1
FLT-0012856,VEH-0043,2024-01-13 05:37:16,35.7,543.37,1141,91.0,2.0,63.7,63.6,1.536,2.3,158.7,16.8,Good,5801.0,E-BATT,12.6,0
FLT-0017369,VEH-0058,2024-03-23 22:24:24,11.6,282.44,593,98.7,,80.2,56.9,1.354,0.57,117.6,13.6,Good,6057.0,,15.0,0
FLT-0020240,VEH-0068,2024-04-20 18:38:36,16.4,186.05,390,95.2,,85.4,62.3,1.962,2.16,123.0,8.9,Fair,6284.0,,26.3,0
FLT-0025720,VEH-0086,2024-04-18 00:49:11,6.0,715.47,1502,95.0,75.2,45.9,82.8,3.752,2.98,60.1,23.3,Good,5978.0,E-VIB,19.2,1
FLT-0037007,VEH-0124,2024-06-04 13:33:00,5.0,551.07,1157,90.5,73.4,59.7,78.1,,3.9,88.8,8.4,Fair,6323.0,,2.4,0
FLT-0026916,VEH-0091,2024-08-03 13:39:42,18.2,844.93,1774,97.3,32.5,45.5,67.4,2.192,5.24,90.7,15.6,Poor,5981.0,,15.0,0
FLT-0012767,VEH-0042,2024-09-20 13:09:00,13.1,469.22,985,100.0,67.6,58.2,,3.22,0.71,82.9,11.4,Good,6469.0,,13.0,0
FLT-0028668,VEH-0096,2024-07-27 08:39:27,6.5,135.99,285,96.3,82.2,83.9,78.3,2.503,0.57,141.6,41.1,Good,6273.0,,32.6,0
FLT-0008628,VEH-0029,2024-01-05 01:24:23,29.3,922.23,1936,89.9,2.0,40.0,90.2,3.855,4.12,31.7,13.8,Good,6100.0,E-THERM;E-VIB;E-BATT,2.8,1
FLT-0035006,VEH-0117,2024-03-09 17:45:00,9.9,544.29,1143,98.0,67.6,62.5,68.7,2.068,3.49,85.1,32.4,Good,5847.0,,18.1,0
FLT-0036349,VEH-0122,2024-02-19 10:19:12,9.0,82.6,173,98.5,76.7,94.0,55.0,1.077,2.19,100.6,4.7,Fair,5936.0,,8.6,0
FLT-0020958,VEH-0070,2024-06-13 09:22:16,5.2,473.88,995,99.3,79.1,60.7,92.4,3.748,4.22,32.5,28.4,Fair,6483.0,E-THERM;E-VIB,10.2,1
FLT-0033560,VEH-0112,2024-12-04 01:48:17,11.3,394.67,828,97.5,66.3,71.3,67.2,2.21,2.54,46.5,12.5,Fair,6624.0,,41.0,0
FLT-0035520,VEH-0119,2024-01-30 11:53:57,26.9,116.67,245,95.2,32.7,90.0,65.4,1.804,1.61,149.4,38.5,Poor,6810.0,,5.6,0
FLT-0038569,VEH-0129,2024-08-08 08:36:16,17.7,569.66,1196,89.0,28.5,52.7,89.2,4.166,2.84,113.2,3.3,Good,6319.0,E-THERM;E-VIB,27.5,1
