vehicle_id,vehicle_type,model_name,capacity_kg,max_range_km,avg_speed_kmph,hub_code,purchase_date,odometer_km,fleet_status,driver_id,battery_capacity_wh,last_service_date,insurance_expiry,ownership
VEH-0001,Drone,Tamira-879,1.4,16.6,54,HUB-GUR,2021-12-17,62287.3,Active,,5660.0,2024-07-10,2025-01-23,3PL Partner
VEH-0002,Drone,Tamira-998,2.8,10.5,51,HUB-NAG,2019-06-26,228496.0,Maintenance,,5154.0,2024-09-07,2024-06-21,Leased
VEH-0003,Drone,Nexon-730,5.8,22.7,60,HUB-JAI,2023-05-26,56173.9,Maintenance,,6978.0,2025-06-16,2024-09-20,Owned
VEH-0004,Drone,Tamira-332,5.4,10.7,57,HUB-JAI,2021-03-06,62245.1,Idle,,3879.0,2025-05-01,2024-12-16,Owned
VEH-0005,Drone,Kaveri-271,5.3,14.9,59,HUB-DEL,2018-12-31,256229.3,Maintenance,,5856.0,2025-01-26,2024-02-29,Leased
VEH-0006,Drone,Nexon-364,1.9,14.5,53,HUB-AHM,2021-08-27,22487.6,Active,,7266.0,2025-06-20,2024-12-22,3PL Partner
VEH-0007,Drone,Aravind-179,4.3,13.6,52,HUB-KOL,2018-10-17,45274.2,Active,,8744.0,2025-04-19,2024-05-12,3PL Partner
VEH-0008,Drone,Kaveri-893,3.9,8.8,53,HUB-CHA,2017-10-11,33216.5,Maintenance,,3060.0,2024-08-05,2024-07-03,3PL Partner
VEH-0009,Drone,Nexon-742,4300 g,29.0,51,HUB-NAG,2022-07-14,128423.7,Active,,5519.0,2025-01-20,2025-01-18,Owned
VEH-0010,Drone,Zenith-423,2.8,11.5,49,HUB-GUW,2017-07-08,172981.4,Active,,4327.0,2025-10-01,2025-11-16,Owned
VEH-0011,Drone,Kaveri-475,1.8,25.1,61,HUB-MYS,2020-07-29,162387.1,Retired,,2016.0,2024-01-06,2023-10-25,Leased
VEH-0012,Drone,Nexon-390,5.4,15.6,51,HUB-MAD,2021-01-28,94117.3,Maintenance,,3346.0,2025-02-11,2024-09-14,3PL Partner
VEH-0013,Drone,Zenith-948,4.9,27.2,55,HUB-BEN,2021-06-13,73699.8,Active,,5213.0,2024-06-24,2024-01-01,Owned
