work_order_id,vehicle_id,service_date,service_type,parts_replaced,labour_hours,cost_inr,downtime_hours,failure_reported,technician_id
WO-000001,VEH-0475,2024-05-14,Battery Pack Swap,"Motor, ESC",4.9,38026.84,19.7,1.0,TEC-015
WO-000002,VEH-0475,2024-05-27,Battery Pack Swap,,6.9,3248.84,20.3,0.0,TEC-185
WO-000003,VEH-0632,2024-12-12,Routine Inspection,,2.9,17940.67,59.7,1.0,TEC-072
WO-000004,VEH-0632,2025-04-10,Battery Pack Swap,,0.7,34331.71,73.7,0.0,TEC-203
WO-000005,VEH-0562,2024-12-12,Motor Overhaul,"Brake Pads, Fluid",1.8,23779.23,47.2,0.0,TEC-067
WO-000007,VEH-0562,2025-03-09,Propeller Replacement,"Brake Pads, Fluid",3.1,11186.15,57.3,1.0,TEC-145
WO-000008,VEH-0562,2024-06-04,Frame Repair,,11.3,24178.97,38.1,1.0,TEC-103
WO-000009,VEH-0652,2024-07-01,Firmware Update,Battery Pack,11.0,46944.87,5.2,,TEC-091
WO-000010,VEH-0652,2024-10-24,Motor Overhaul,,10.5,43895.28,38.0,0.0,TEC-130
WO-000011,VEH-0652,2024-05-09,Landing Gear Fix,Propeller x2,3.3,39747.03,41.2,0.0,TEC-096
WO-000012,VEH-0652,2025-10-03,Landing Gear Fix,,3.5,38791.85,30.0,0.0,TEC-076
WO-000013,VEH-0333,2024-08-29,Frame Repair,Landing Skid,13.4,34503.72,92.2,1.0,TEC-042
WO-000014,VEH-0333,2024-01-04,Battery Pack Swap,Battery Pack,1.2,3615.5,24.4,,TEC-100
WO-000015,VEH-0540,2024-09-22,Engine Service,Landing Skid,3.3,16818.55,82.5,0.0,TEC-174
WO-000016,VEH-0540,2024-07-30,Tyre Change,,6.0,16138.0,67.5,1.0,TEC-103
WO-000017,VEH-0540,2025-03-29,Engine Service,Propeller x2,5.7,17260.2,7.9,,TEC-127
WO-000018,VEH-0540,2024-02-09,Routine Inspection,,4.6,38695.39,36.3,0.0,TEC-039
WO-000019,VEH-0540,2024-04-03,Firmware Update,Propeller x2,2.6,24792.95,49.7,0.0,TEC-200
WO-000020,VEH-0540,2024-07-02,Landing Gear Fix,"Brake Pads, Fluid",1.6,44619.43,95.2,,TEC-172
WO-000021,VEH-0310,2024-11-21,Frame Repair,Battery Pack,11.0,34790.23,60.2,0.0,TEC-102
WO-000022,VEH-0310,2024-12-24,Motor Overhaul,Landing Skid,2.4,37145.35,15.5,1.0,TEC-191
WO-000024,VEH-0310,2024-08-05,Firmware Update,Propeller x2,10.4,30672.58,35.2,1.0,TEC-216
WO-000026,VEH-0480,2024-03-08,Engine Service,"Brake Pads, Fluid",5.4,5995.37,2.5,,TEC-180
WO-000027,VEH-0480,2024-11-20,Motor Overhaul,Propeller x2,5.5,46145.84,45.6,0.0,TEC-107
WO-000028,VEH-0480,2025-10-04,Frame Repair,,8.4,11796.86,7.9,0.0,TEC-114
WO-000029,VEH-0480,2024-03-03,Firmware Update,,1.1,19355.55,63.0,1.0,TEC-087
WO-000030,VEH-0480,2024-01-09,Propeller Replacement,Landing Skid,13.3,35916.92,31.3,,TEC-179
WO-000031,VEH-0224,2024-05-07,Tyre Change,,7.3,42626.28,61.5,,TEC-202
WO-000032,VEH-0224,2024-05-18,Frame Repair,,2.1,33066.05,82.6,1.0,TEC-144
WO-000033,VEH-0365,2024-08-01,Motor Overhaul,Propeller x2,6.3,38329.99,54.0,0.0,TEC-126
WO-000034,VEH-0365,2024-09-13,Frame Repair,,6.4,45956.21,15.4,1.0,TEC-174
WO-000035,VEH-0365,2024-05-10,Frame Repair,"Motor, ESC",13.1,34522.91,31.3,0.0,TEC-052
WO-000037,VEH-0491,2024-12-16,Tyre Change,Propeller x2,9.8,23172.29,36.5,0.0,TEC-143
WO-000038,VEH-0491,2024-10-24,Battery Pack Swap,,8.2,27368.3,11.3,,TEC-009
WO-000039,VEH-0491,2024-06-09,Tyre Change,,7.1,1240.59,42.9,0.0,TEC-110
WO-000040,VEH-0491,2024-06-05,Firmware Update,Propeller x2,2.5,6347.87,67.6,0.0,TEC-140
WO-000041,VEH-0491,2024-05-11,Routine Inspection,Propeller x2,13.6,37014.34,27.2,1.0,TEC-031
WO-000042,VEH-0491,2024-01-27,Battery Pack Swap,Battery Pack,12.1,28624.42,52.0,,TEC-057
WO-000043,VEH-0199,2024-08-14,Routine Inspection,Battery Pack,4.5,16540.65,9.9,,TEC-120
WO-000044,VEH-0199,2025-05-28,Firmware Update,Propeller x2,12.0,10127.94,43.4,1.0,TEC-135
WO-000045,VEH-0199,2025-05-21,Tyre Change,Battery Pack,9.5,44499.39,82.7,1.0,TEC-200
WO-000046,VEH-0199,2024-12-06,Routine Inspection,,3.3,16422.26,23.0,0.0,TEC-057
WO-000047,VEH-0199,2024-11-05,Battery Pack Swap,Propeller x2,3.6,13752.5,15.2,0.0,TEC-067
WO-000048,VEH-0199,2024-10-11,Engine Service,Battery Pack,8.8,11275.49,4.3,1.0,TEC-141
WO-000049,VEH-0278,2025-06-26,Engine Service,"Motor, ESC",4.3,33444.67,4.9,1.0,TEC-069
WO-000050,VEH-0034,2024-11-20,Routine Inspection,,10.6,42108.7,94.3,1.0,TEC-216
WO-000051,VEH-0034,2024-12-22,Routine Inspection,,8.1,1396.62,61.9,0.0,TEC-002
WO-000052,VEH-0537,2024-03-06,Engine Service,Propeller x2,2.1,2672.11,20.0,0.0,TEC-153
WO-000053,VEH-0537,2024-03-29,Motor Overhaul,"Brake Pads, Fluid",6.8,1193.46,49.9,0.0,TEC-052
WO-000054,VEH-0537,2024-09-28,Firmware Update,"Motor, ESC",3.5,14403.01,94.7,0.0,TEC-080
WO-000055,VEH-0537,2025-02-16,Engine Service,"Brake Pads, Fluid",4.7,43017.12,27.6,,TEC-187
WO-000056,VEH-0537,2024-11-21,Engine Service,"Motor, ESC",2.5,16298.82,7.9,1.0,TEC-174
WO-000057,VEH-0103,2024-03-12,Routine Inspection,Battery Pack,2.2,24119.11,91.6,0.0,TEC-219
WO-000058,VEH-0103,2024-06-09,Battery Pack Swap,Propeller x2,9.0,12946.17,90.0,0.0,TEC-100
WO-000059,VEH-0103,2024-07-19,Brake Pad Replacement,Battery Pack,7.0,24049.84,5.5,1.0,TEC-063
WO-000060,VEH-0103,2024-07-17,Frame Repair,,13.1,27588.1,88.6,0.0,TEC-138
WO-000061,VEH-0103,2025-03-13,Frame Repair,,7.9,12719.6,31.4,,TEC-111
WO-000062,VEH-0164,2025-01-15,Landing Gear Fix,Propeller x2,13.1,41820.49,9.4,0.0,TEC-038
WO-000063,VEH-0164,2024-12-19,Landing Gear Fix,Battery Pack,6.3,13885.09,11.3,0.0,TEC-039
WO-000064,VEH-0487,2024-10-01,Routine Inspection,Landing Skid,7.0,32568.91,80.9,1.0,TEC-195
WO-000065,VEH-0487,2024-06-15,Propeller Replacement,Battery Pack,12.4,27985.45,33.5,0.0,TEC-002
WO-000066,VEH-0487,2024-11-03,Landing Gear Fix,"Motor, ESC",3.8,38233.13,27.8,,TEC-029
WO-000067,VEH-0487,2025-06-02,Propeller Replacement,,11.0,26872.46,89.1,0.0,TEC-126
WO-000068,VEH-0487,2024-11-18,Motor Overhaul,"Motor, ESC",10.5,34695.62,76.3,1.0,TEC-087
WO-000069,VEH-0487,2024-03-01,Routine Inspection,Propeller x2,10.8,15572.14,42.6,0.0,TEC-004
