order_id,customer_id,product_id,quantity,order_date,origin_hub,origin_city,destination_city,destination_state,destination_pincode,destination_lat,destination_lon,distance_km,package_dimensions_cm,is_fragile,is_hazmat,cold_chain_required,delivery_priority,payment_mode,order_value_inr,weather_condition_at_dest,assigned_vehicle_id,promised_eta_hours,actual_delivery_hours,delivery_cost_inr,transport_mode,order_status,package_weight_kg,on_time,delay_hours,cost_per_km
ORD-011545,CUST-02608,PRD-00356,3,2024-05-06 00:00:00,HUB-LUC,Lucknow,Chandigarh,CH,160017,30.764098,76.76613,596.23,,0,0,0,Economy,Card,79382.91,Cloudy,VEH-0680,22.6,17.72,1682.59,Truck,Delivered,16.89,1,0.0,2.8220485383157503
ORD-008131,CUST-03997,PRD-00200,3,2024-12-27 12:23:00,HUB-CHE,Chennai,Chennai,TN,600001,13.009263,80.390385,15.32,40x25x10,1,0,0,Express,Upi,225352.59,Fog,VEH-0421,3.2,3.01,188.03,Van,Delivered,87.54,1,0.0,12.273498694516972
ORD-005235,CUST-00315,PRD-00222,1,2024-11-18 12:58:00,HUB-BEN,Bengaluru,Bengaluru,KA,560001,12.880754,77.535122,11.98,85x30x49,0,0,0,Express,Cod,49417.12,Clear,VEH-0523,1.6,1.29,283.37,Van,In Transit,104.66,1,0.0,23.653589315525878
ORD-001394,CUST-04067,PRD-00155,4,2024-08-29 11:05:00,HUB-MAD,Madurai,Madurai,TN,625001,9.94025,78.145166,3.24,,0,0,0,Standard,Prepaid,200811.44,Rain,VEH-0614,5.8,5.51,212.46,Truck,Delivered,59.44,1,0.0,65.57407407407408
ORD-005379,CUST-02858,PRD-00806,2,2024-02-11 09:00:00,HUB-MUM,Mumbai,Mumbai,MH,400001,19.056308,72.834798,5.01,67*20*47,0,0,0,Standard,Prepaid,374218.58,Clear,VEH-0018,0.4,0.33,18.01,Drone,Delivered,1.54,1,0.0,3.5948103792415176
ORD-011641,CUST-02822,PRD-00612,4,2024-10-28 13:12:00,HUB-DEL,Delhi,Bhubaneswar,OD,751001,20.261317,85.84156,1274.31,83x26x32,1,1,0,Express,Prepaid,750203.2,Fog,VEH-0721,14.2,9.24,12399.36,Air Cargo,In Transit,6.08,1,0.0,9.730254019822492
ORD-006654,CUST-04034,PRD-00197,2,2025-01-05 16:12:00,HUB-CHA,Chandigarh,Chandigarh,CH,160017,30.790168,76.802457,6.7,41*38*30,1,0,0,Express,Upi,210888.0,Clear,VEH-0289,1.1,1.02,70.85,Bike,Returned,11.58,1,0.0,10.574626865671641
ORD-012807,CUST-04323,PRD-00028,1,2025-02-21 09:31:00,HUB-CHA,Chandigarh,Chennai,TN,600001,13.057221,80.300841,1998.4,70*46*50,1,0,0,Exp,Card,150012.06,Rain,VEH-0713,17.1,11.8,19237.85,Air Cargo,Pending,0.59,1,0.0,9.626626301040831
ORD-002865,CUST-03108,PRD-00447,2,2024-02-21 11:00:00,HUB-JAI,Jaipur,Jaipur,RJ,302001,26.941291,75.774611,3.45,48 x 31 x 43,1,0,0,Standard,Prepaid,334400.18,Sunny,VEH-0007,0.4,0.3,-1.26,Drone,Delivered,2.66,1,0.0,-0.3652173913043478
ORD-007668,CUST-00386,PRD-00150,4,2025-09-02 16:05:00,HUB-GUR,Gurugram,Ahmedabad,GJ,380001,23.023652,72.593891,749.8,,0,0,0,Exp,Cod,497425.08,Thunderstorm,VEH-0694,29.6,23.52,2248.49,Truck,Delivered,78.88,1,0.0,2.9987863430248063
ORD-007410,CUST-01083,PRD-00494,1,,HUB-HYD,Hyderabad,Hyderabad,TS,500001,17.353216,78.448951,5.34,,1,0,0,Same-Day,Cod,100930.1,Fog,VEH-0035,2.9,,283.18,Drone,Delivered,0.95,0,,53.029962546816485
ORD-014936,CUST-03277,PRD-00430,4,2025-03-28 00:00:00,HUB-GUW,Guwahati,Guwahati,AS,781001,26.209652,91.665522,10.11,28x22x14,0,0,0,Std,Upi,753984.32,Sunny,VEH-0295,1.3,0.93,32.09,Bike,Delivered,1.12,1,0.0,3.17408506429278
ORD-004601,CUST-01202,PRD-00410,4,2024-12-22 21:23:00,HUB-HYD,Hyderabad,Bhubaneswar,OD,751001,20.249433,85.793546,832.26,43*50*7,0,0,0,Standard,Upi,143310.84,Clear,VEH-0657,37.5,25.17,2410.33,Truck,Cancelled,65.56,1,0.0,2.8961262105592
ORD-014639,CUST-01616,PRD-00277,4,2024-11-22 20:12:00,HUB-MUM,Mumbai,Hyderabad,TS,500001,17.429078,78.466887,617.93,,0,0,0,Economy,Upi,431559.44,Rain,VEH-0644,21.4,17.87,1969.82,,Delivered,118.64,1,0.0,3.1877720777434337
ORD-009316,CUST-03498,PRD-00254,2,2025-02-14 18:12:00,HUB-DEL,Delhi,Coimbatore,TN,641001,11.011124,76.980369,1957.48,15*17*35,0,0,0,Standard,Cod,206347.56,Clear,VEH-0652,64.6,51.44,5392.36,Truck,Delivered,111.52,1,0.0,2.7547458977869503
ORD-000677,CUST-04433,PRD-00500,3,2024-11-18 18:44:00,HUB-LUC,Lucknow,Lucknow,UP,226001,80.852782,26.893439,10.62,17x27x14,0,0,0,Express,Cod,492650.64,Rain,VEH-0285,1.9,1.44,40.32,Bike,Delivered,5.25,1,0.0,3.7966101694915255
ORD-008718,CUST-01904,PRD-00533,1,2025-06-20 18:17:00,HUB-BHU,Bhubaneswar,Chennai,TN,600001,13.105557,80.306754,991.99,,1,0,0,Standard,Upi,151650.44,Clear,VEH-0582,40.5,29.75,2699.69,Truck,In Transit,1.36,1,0.0,2.721489127914596
ORD-010155,CUST-00041,PRD-00510,2,2024-07-13 14:00:00,HUB-BHU,Bhubaneswar,Ahmedabad,GJ,380001,23.005857,72.587553,1400.24,51x29x25,0,0,0,Standard,Prepaid,333310.88,Cloudy,VEH-0685,50.7,33.71,3781.24,Truck,In Transit,,1,0.0,2.7004227846654856
ORD-009823,CUST-04608,PRD-00514,3,2025-05-25 13:00:00,HUB-NAG,Nagpur,Gurugram,HR,122001,28.432289,77.028633,836.41,,0,0,0,Exp,Upi,437841.72,Clear,VEH-0721,9.1,8.31,8212.49,Air Cargo,Delivered,2.4,1,0.0,9.818737222175727
ORD-007498,  ,PRD-00576,1,2025-05-25 00:00:00,HUB-KOL,Kolkata,Kolkata,WB,700001,22.544689,88.350966,3.38,75*55*21,0,1,0,Express,Upi,177052.89,Thunderstorm,VEH-0191,3.3,2.39,53.59,Bike,Delivered,1.86,1,0.0,15.855029585798817
ORD-006048,CUST-04287,PRD-00666,1,2024-09-22 09:23:00,HUB-PUN,Pune,Kolkata,WB,700001,22.597553,88.374387,1577.09,43 x 12 x 18,0,1,0,Std,Card,18111.9,Sunny,VEH-0681,56.4,43.77,6842.68,Truck,In Transit,1441.8,1,0.0,4.338801209823155
ORD-013080,CUST-00664,PRD-00062,4,2025-03-24 21:05:00,HUB-BEN,Bengaluru,Chennai,TN,600001,13.063975,80.223976,285.04,,1,0,0,Standard,Cod,164542.16,Sunny,VEH-0720,9.8,6.6,2966.4,Air Cargo,In Transit,4.24,1,0.0,10.406960426606792
ORD-003909,CUST-01664,PRD-00814,1,2025-05-20 16:58:00,HUB-AHM,Ahmedabad,Jaipur,RJ,302001,26.883681,75.776213,537.27,,1,0,0,Same-Day,Prepaid,38563.97,,VEH-0644,24.0,16.76,1785.86,Truck,Delivered,3.31,1,0.0,3.3239525750553724
ORD-013610,CUST-01093,PRD-00354,3,,HUB-CHE,Chennai,Hyderabad,TS,500001,17.398444,78.469744,517.3,,1,0,0,Standard,Upi,409289.76,Cloudy,VEH-0630,20.3,17.3,1570.48,Truck,In Transit,74.64,1,0.0,3.0359172627102264
ORD-000569,CUST-00917,PRD-00501,3,2025-04-22 11:44:00,HUB-AHM,Ahmedabad,Ahmedabad,GJ,380001,22.944505,72.66133,12.65,,0,0,0,Express,Cod,221595.81,Cloudy,VEH-0329,1.7,1.56,41.28,Bike,In Transit,0.72,1,0.0,3.2632411067193674
ORD-004895,CUST-00971,PRD-00683,4,2024-10-07 17:58:00,HUB-AHM,Ahmedabad,Nagpur,MH,440001,21.098088,79.050438,701.05,24x60x27,0,1,0,Std,Cod,705055.84,Rain,VEH-0632,22.8,19.22,25141.52,Truck,Delivered,12897.0,1,0.0,35.86266314813494
ORD-008496,CUST-04698,PRD-00236,4,2025-02-23 20:17:00,HUB-KOC,Kochi,Kochi,KL,682001,9.924327,76.302243,3.9,,0,0,0,Standard,Prepaid,656521.84,Cloudy,VEH-0438,1.6,1.34,578.06,Van,Delivered,289.2,1,0.0,148.22051282051282
