review_id,order_id,product_id,customer_id,rating,review_title,review_text,review_date,verified_purchase,helpful_votes,delivery_mode_experienced,sentiment_label
REV-000178,ORD-003669,PRD-00800,CUST-04230,5.0,,"Packaging was excellent, product intact Tracking updates were accurate",2024-12-24 21:44:00,0,,Van,pos
REV-001266,ORD-009317,PRD-00595,CUST-04050,1.0,Delivery feedback,Package arrived damaged Item missing from the box worst 😡,2025-03-21 00:00:00,0,,,neg
REV-008142,ORD-010864,PRD-00073,CUST-01504,3.0,Good,"Average experience Product fine, delivery slow worst 😡",2024-05-27 20:05:00,0,63,Drone,neu
REV-008108,ORD-004311,PRD-00108,CUST-04970,3.0,Delivery feedback,"Average experience Product fine, delivery slow",2024-08-15 06:00:00,1,78,Drone,neu
REV-008239,ORD-009619,PRD-00789,CUST-04225,5.0,Bad experience,"Packaging was excellent, product intact Tracking updates were accurate",2024-03-03 07:23:00,0,17,Van,pos
REV-002225,ORD-000025,PRD-00476,CUST-02000,1.0,,Rider was rude on call Package arrived damaged,2024-03-31 17:17:00,1,,,neg
REV-005799,ORD-014247,PRD-00461,CUST-03111,3.0,Good,"Delivery was okay, nothing special Reached on time but packaging was weak",2025-04-25 11:23:00,1,31,,neu
REV-009137,ORD-012162,PRD-00235,CUST-00748,5.0,,Tracking updates were accurate Drone drop was smooth and quick,2024-04-08 00:00:00,0,56,Drone,pos
REV-010467,ORD-001869,PRD-00072,CUST-03033,1.0,,Drone dropped parcel in wrong spot No tracking updates at all,2024-10-12 00:00:00,1,8,Truck,neg
REV-005189,ORD-014186,PRD-00511,CUST-01546,5.0,Bad experience,Tracking updates were accurate Delivery was faster than promised बहुत अच्छा,2024-04-04 19:17:00,0,75,Drone,pos
REV-001517,ORD-005633,PRD-00466,CUST-02587,5.0,Delivery feedback,Rider was polite and on time Delivery was faster than promised,2024-03-26 17:17:00,1,71,Truck,pos
REV-011665,ORD-000959,PRD-00193,CUST-02200,3.0,Good,,2024-07-17 11:05:00,1,60,Drone,neu
REV-004336,ORD-005652,PRD-00184,CUST-04730,5.0,Bad experience,Delivery was faster than promised Tracking updates were accurate,2025-04-16 20:05:00,1,87,Drone,pos
REV-001529,ORD-010349,PRD-00638,CUST-01655,2.0,Delivery feedback,No tracking updates at all Package arrived damaged,2024-10-26 13:17:00,0,,Truck,neg
REV-011045,ORD-012068,PRD-00030,CUST-03414,4.0,,Drone drop was smooth and quick Great experience overall 👍,2025-01-23 10:00:00,1,,Van,pos
REV-010477,ORD-010640,PRD-00353,CUST-01682,5.0,Delivery feedback,"Packaging was excellent, product intact Delivery was faster than promised",2024-03-17 10:00:00,0,62,Van,pos
REV-008610,ORD-009396,PRD-00467,CUST-01661,5.0,Bad experience,"Packaging was excellent, product intact Great experience overall 👍",2024-08-17 19:05:00,1,,Truck,pos
REV-005559,ORD-005792,PRD-00429,CUST-00455,4.0,Delivery feedback,Rider was polite and on time Delivery was faster than promised,2025-05-06 19:31:00,1,37,,pos
