route_id,vehicle_id,vehicle_type,route_date,order_ids,planned_distance_km,actual_distance_km,planned_duration_min,actual_duration_min,stops_planned,stops_completed,fuel_or_energy_used,driver_id,waypoint_count,fuel_or_energy_value
RTE-00001,VEH-0594,Truck,2024-02-02,"ORD-004958,ORD-011321,ORD-012786,ORD-008856,ORD-012379,ORD-007745,ORD-000883",13.68,242.92,605.3,509.2,7,7,7.81 L,DRV-0131,10,7.81
RTE-00002,VEH-0348,Bike,2024-03-06,"ORD-003588,ORD-002005,ORD-012829,ORD-007278,ORD-012530,ORD-008006,ORD-004226",352.54,129.9,596.3,388.9,7,7,45.98 L,DRV-0023,6,45.98
RTE-00003,VEH-0602,Truck,2024-10-11,"ORD-008327,ORD-006093,ORD-008581,ORD-013171,ORD-002192,ORD-005287",240.01,253.05,360.8,671.6,6,6,881.0 Wh,DRV-0417,6,881.0
RTE-00004,VEH-0685,Truck,2024-05-15,"ORD-011835,ORD-012480",29.88,59.5,81.5,26.2,2,2,45.22 L,DRV-0139,10,45.22
RTE-00005,VEH-0451,Van,2024-04-27,"ORD-000996,ORD-005341,ORD-008309,ORD-008693,ORD-008243,ORD-009599,ORD-010792,ORD-006618",361.05,28.4,274.3,276.3,8,8,51.3 L,DRV-0661,14,51.3
RTE-00006,VEH-0147,Bike,2025-02-25,"ORD-009354,ORD-009639,ORD-005290,ORD-007555",152.53,418.89,444.5,462.6,4,3,48.72 L,DRV-0703,12,48.72
RTE-00007,VEH-0630,Truck,2024-01-20,"ORD-003104,ORD-008639,ORD-014943,ORD-007822,ORD-000524,ORD-003894,ORD-009049",186.31,176.34,64.5,195.7,7,7,52.48 L,DRV-0408,11,52.48
RTE-00008,VEH-0186,Bike,2024-10-08,"ORD-009052,ORD-011328",414.24,190.54,550.2,451.9,2,2,44.17,DRV-0030,4,44.17
RTE-00009,VEH-0544,Van,2024-05-26,ORD-001483,346.55,362.54,514.6,522.2,1,1,40.55,DRV-0529,4,40.55
RTE-00010,VEH-0050,Drone,2024-11-26,"ORD-010544,ORD-002137,ORD-004537,ORD-004024,ORD-010199,ORD-011973,ORD-009933,ORD-012845",192.48,457.02,126.1,280.2,8,6,23.71 L,,12,23.71
RTE-00011,VEH-0692,Truck,2025-01-04,"ORD-013257,ORD-005529,ORD-006335",68.18,89.7,235.0,631.5,3,3,2019.0 Wh,DRV-0686,7,2019.0
RTE-00012,VEH-0411,Van,2024-05-12,"ORD-006829,ORD-013392,ORD-003061,ORD-011417,ORD-004476",268.11,330.59,517.1,441.3,5,5,46.94 L,DRV-0660,7,46.94
RTE-00013,VEH-0233,Bike,2024-11-17,"ORD-011716,ORD-011975,ORD-000047,ORD-003142",236.02,340.5,375.0,629.7,4,4,10.94,DRV-0876,14,10.94
RTE-00014,VEH-0556,Van,2024-02-19,"ORD-003696,ORD-013803,ORD-001076,ORD-001601,ORD-001290,ORD-013331",327.34,205.78,274.8,90.2,6,6,25.7,DRV-0332,9,25.7
RTE-00015,VEH-0648,Truck,2024-12-04,"ORD-014939,ORD-014123,ORD-002724",323.81,283.32,258.2,510.0,3,3,445.0 Wh,DRV-0513,13,445.0
RTE-00016,VEH-0029,Drone,2024-09-30,"ORD-001119,ORD-009475,ORD-001554",208.81,26.79,629.1,524.6,3,2,28.7,,7,28.7
RTE-00017,VEH-0031,Drone,2024-01-23,"ORD-007604,ORD-013828,ORD-008427,ORD-005404,ORD-008697,ORD-006185,ORD-000639,ORD-007498,ORD-008543",10.46,41.08,654.7,265.5,9,9,39.01,,9,39.01
RTE-00018,VEH-0687,Truck,2024-09-28,"ORD-003718,ORD-003818,ORD-004538,ORD-013821,ORD-010342,ORD-001326,ORD-007720",371.24,190.69,269.0,790.5,7,7,20.85,DRV-0781,7,20.85
RTE-00019,VEH-0252,Bike,2024-05-05,"ORD-009473,ORD-000010,ORD-002420,ORD-010381,ORD-004031,ORD-010816,ORD-008308",148.24,226.92,671.8,519.3,7,7,1389.0 Wh,DRV-0023,11,1389.0
RTE-00020,VEH-0537,Van,2025-01-16,"ORD-014839,ORD-008416",310.97,397.61,369.3,527.6,2,2,17.69,DRV-0658,7,17.69
RTE-00021,VEH-0607,Truck,2024-09-01,"ORD-005033,ORD-009573,ORD-001632,ORD-008667",387.72,,449.5,422.0,4,4,40.66 L,DRV-0571,13,40.66
RTE-00022,VEH-0367,Bike,2025-02-21,"ORD-006288,ORD-011917,ORD-009387,ORD-010055",191.66,152.93,310.3,761.8,4,4,43.38,DRV-0878,14,43.38
RTE-00023,VEH-0617,Truck,2025-03-15,"ORD-002412,ORD-000065,ORD-006002,ORD-007425,ORD-003622,ORD-007494,ORD-001982,ORD-014644",207.2,273.55,620.4,666.0,8,8,48.99,DRV-0510,8,48.99
RTE-00024,VEH-0352,Bike,2024-06-21,"ORD-009005,ORD-014778,ORD-000780,ORD-014418,ORD-011630,ORD-004578,ORD-004598",217.92,56.33,401.0,339.2,7,7,16.94 L,DRV-0231,13,16.94
RTE-00025,VEH-0696,Truck,2024-03-20,"ORD-009784,ORD-014874,ORD-010581",99.1,139.54,218.4,99.4,3,3,44.68 L,DRV-0783,0,44.68
RTE-00026,VEH-0609,Truck,2024-08-15,"ORD-012697,ORD-005048,ORD-007248",322.79,331.51,362.3,199.2,3,1,5.82 L,DRV-0420,8,5.82
