record_date,hour_of_day,city,corridor,congestion_index,avg_speed_kmph,incident_reported,road_closure
2024-01-01,7,Kolkata,Central Market,0.54,31.9,0,0
2024-01-01,10,Kolkata,NH-44 Stretch,0.259,37.7,1,0
2024-01-01,13,Kolkata,IT Corridor,0.369,40.5,0,0
2024-01-01,17,Kolkata,NH-44 Stretch,0.774,15.5,0,0
2024-01-01,20,Kolkata,IT Corridor,0.644,21.6,1,0
2024-01-01,23,Kolkata,Central Market,0.323,38.8,1,0
2024-01-01,7,Mysuru,Central Market,45.7,,0,0
2024-01-01,10,Mysuru,Airport Link,71.9,13.1,0,1
2024-01-01,13,Mysuru,Airport Link,0.57,27.6,0,0
2024-01-01,17,Mysuru,Old Town Bypass,0.759,17.9,0,0
2024-01-01,20,Mysuru,Ring Road,0.591,23.6,1,0
2024-01-01,23,Mysuru,NH-44 Stretch,0.61,12.6,0,0
2024-01-01,7,Guwahati,Ring Road,0.675,14.1,0,0
2024-01-01,10,Guwahati,Port Access Rd,0.323,38.4,0,0
2024-01-01,13,Guwahati,Old Town Bypass,0.075,48.0,0,0
2024-01-01,17,Guwahati,Airport Link,0.45,31.5,1,0
2024-01-01,20,Guwahati,NH-44 Stretch,0.737,19.1,1,0
2024-01-01,23,Guwahati,IT Corridor,0.405,36.7,1,0
2024-01-01,7,Kochi,Old Town Bypass,0.636,19.8,0,0
2024-01-01,10,Kochi,Industrial Belt,0.03,55.7,0,0
2024-01-01,13,Kochi,Port Access Rd,0.593,20.1,0,0
2024-01-01,17,Kochi,Ring Road,0.462,26.9,0,0
2024-01-01,20,Kochi,Old Town Bypass,53.5,25.0,0,0
2024-01-01,23,Kochi,Port Access Rd,0.44,32.7,1,0
2024-01-01,7,Chandigarh,Old Town Bypass,0.603,24.6,0,0
2024-01-01,10,Chandigarh,IT Corridor,0.313,40.6,0,0
2024-01-01,13,Chandigarh,Industrial Belt,23.1,52.3,0,0
2024-01-01,17,Chandigarh,NH-44 Stretch,0.696,16.1,0,0
2024-01-01,20,Chandigarh,Old Town Bypass,0.39,31.4,0,0
2024-01-01,23,Chandigarh,NH-44 Stretch,0.532,25.0,0,0
2024-01-01,7,Pune,Industrial Belt,0.411,32.2,0,0
2024-01-01,10,Pune,NH-44 Stretch,0.342,41.9,0,0
2024-01-01,13,Pune,Port Access Rd,27.4,46.6,0,0
2024-01-01,17,Pune,Old Town Bypass,0.366,,0,0
2024-01-01,20,Pune,NH-44 Stretch,63.1,23.2,0,0
2024-01-01,23,Pune,Old Town Bypass,51.4,22.0,0,0
2024-01-01,7,Chennai,Industrial Belt,0.487,25.5,0,0
2024-01-01,10,Chennai,Ring Road,0.521,31.7,1,0
2024-01-01,13,Chennai,Ring Road,15.1,54.7,1,0
2024-01-01,17,Chennai,Old Town Bypass,0.626,26.2,0,0
2024-01-01,20,Chennai,Port Access Rd,0.329,44.8,1,0
2024-01-01,23,Chennai,Central Market,0.391,35.8,1,0
2024-01-01,7,Bengaluru,Ring Road,0.595,23.3,1,0
2024-01-01,10,Bengaluru,NH-44 Stretch,0.614,23.2,0,0
2024-01-01,13,Bengaluru,Old Town Bypass,0.425,35.4,0,0
2024-01-01,17,Bengaluru,IT Corridor,59.6,22.0,1,0
2024-01-01,20,Bengaluru,Port Access Rd,0.709,22.3,1,0
2024-01-01,23,Bengaluru,Ring Road,0.03,58.5,0,0
2024-01-01,7,Coimbatore,IT Corridor,0.504,27.1,0,0
2024-01-01,10,Coimbatore,Industrial Belt,8.4,55.7,0,0
2024-01-01,13,Coimbatore,NH-44 Stretch,0.43,28.0,1,0
2024-01-01,17,Coimbatore,Central Market,33.0,43.7,0,0
2024-01-01,20,Coimbatore,Port Access Rd,0.3,47.7,1,0
2024-01-01,23,Coimbatore,Old Town Bypass,0.455,38.3,0,1
2024-01-01,7,Ahmedabad,Ring Road,0.652,21.1,1,0
2024-01-01,10,Ahmedabad,Airport Link,0.266,39.7,0,0
2024-01-01,13,Ahmedabad,Port Access Rd,0.215,45.1,0,0
2024-01-01,17,Ahmedabad,IT Corridor,0.437,29.3,0,0
2024-01-01,20,Ahmedabad,Old Town Bypass,0.649,22.7,0,0
2024-01-01,23,Ahmedabad,Airport Link,41.2,37.2,1,0
2024-01-01,7,Mumbai,Port Access Rd,0.708,17.6,0,0
2024-01-01,10,Mumbai,Ring Road,0.45,38.1,0,0
2024-01-01,13,Mumbai,Ring Road,0.121,46.7,0,0
2024-01-01,17,Mumbai,Ring Road,0.642,26.2,0,0
2024-01-01,20,Mumbai,Industrial Belt,0.575,27.4,0,0
2024-01-01,23,Mumbai,Central Market,0.251,46.5,0,0
2024-01-01,7,Lucknow,Ring Road,0.543,21.1,1,0
2024-01-01,10,Lucknow,Central Market,20.7,50.5,0,0
2024-01-01,13,Lucknow,NH-44 Stretch,0.614,21.3,0,0
2024-01-01,17,Lucknow,IT Corridor,0.817,8.0,1,0
2024-01-01,20,Lucknow,Ring Road,44.6,36.5,1,0
2024-01-01,23,Lucknow,Industrial Belt,0.4,41.6,0,0
2024-03-01,7,Bhubaneswar,Industrial Belt,28.5,42.2,0,0
2024-03-01,10,Bhubaneswar,Old Town Bypass,0.323,38.6,0,0
2024-03-01,13,Bhubaneswar,Industrial Belt,0.232,43.9,0,0
2024-03-01,17,Bhubaneswar,Old Town Bypass,54.7,23.1,0,0
2024-03-01,20,Bhubaneswar,Ring Road,29.4,40.4,1,0
2024-03-01,23,Bhubaneswar,Airport Link,0.283,44.6,0,0
2024-03-01,7,Lucknow,Old Town Bypass,0.566,24.5,1,0
2024-03-01,10,Lucknow,Airport Link,22.8,49.0,0,0
2024-03-01,13,Lucknow,Airport Link,0.279,43.3,0,0
2024-03-01,17,Lucknow,Ring Road,0.735,24.4,0,0
2024-03-01,20,Lucknow,Airport Link,36.6,43.1,0,0
2024-03-01,23,Lucknow,Industrial Belt,0.333,,0,0
2024-03-01,7,Jaipur,Old Town Bypass,0.601,22.5,1,0
2024-03-01,10,Jaipur,Airport Link,0.227,45.1,0,0
2024-03-01,13,Jaipur,IT Corridor,0.405,34.5,0,0
2024-03-01,17,Jaipur,Central Market,0.63,32.4,1,0
2024-03-01,20,Jaipur,Ring Road,0.581,23.3,0,0
2024-03-01,23,Jaipur,Central Market,0.439,31.7,1,0
2024-03-01,7,Chennai,IT Corridor,0.66,23.0,1,0
2024-03-01,10,Chennai,NH-44 Stretch,0.426,35.1,0,0
2024-03-01,13,Chennai,Ring Road,0.319,39.8,1,0
2024-03-01,17,Chennai,Port Access Rd,37.0,45.2,0,0
2024-03-01,20,Chennai,IT Corridor,0.642,18.7,0,1
2024-03-01,23,Chennai,Old Town Bypass,0.03,51.6,1,0
2024-03-01,7,Guwahati,Old Town Bypass,0.754,6.7,0,0
2024-03-01,10,Guwahati,Central Market,0.151,58.9,0,0
2024-03-01,13,Guwahati,NH-44 Stretch,21.8,49.8,0,0
2024-03-01,17,Guwahati,Central Market,0.703,16.0,0,0
2024-03-01,20,Guwahati,Industrial Belt,0.683,20.7,0,0
2024-03-01,23,Guwahati,NH-44 Stretch,18.3,48.3,1,0
2024-03-01,7,Coimbatore,Old Town Bypass,0.644,19.6,0,0
2024-03-01,10,Coimbatore,Old Town Bypass,0.176,43.2,0,0
2024-03-01,13,Coimbatore,Airport Link,37.0,40.7,0,0
2024-03-01,17,Coimbatore,Port Access Rd,41.3,36.2,1,0
2024-03-01,20,Coimbatore,NH-44 Stretch,94.9,4,0,0
2024-03-01,23,Coimbatore,IT Corridor,0.255,46.9,0,1
2024-03-01,7,Hyderabad,Central Market,0.686,18.0,0,0
2024-03-01,10,Hyderabad,NH-44 Stretch,0.489,28.5,1,0
2024-03-01,13,Hyderabad,Central Market,0.426,36.5,0,0
2024-03-01,17,Hyderabad,Port Access Rd,0.888,10.3,0,0
2024-03-01,20,Hyderabad,NH-44 Stretch,0.669,21.3,0,0
2024-03-01,23,Hyderabad,Old Town Bypass,0.41,30.6,0,0
2024-03-01,7,Kolkata,IT Corridor,0.652,16.6,0,0
2024-03-01,10,Kolkata,Airport Link,0.358,34.4,0,0
2024-03-01,13,Kolkata,Airport Link,0.232,45.0,0,0
2024-03-01,17,Kolkata,NH-44 Stretch,0.44,,0,0
2024-03-01,20,Kolkata,Airport Link,55.9,27.8,0,0
2024-03-01,23,Kolkata,Central Market,0.179,45.9,0,0
2024-03-01,7,Chandigarh,Central Market,0.593,22.6,0,0
2024-03-01,10,Chandigarh,Airport Link,0.193,41.5,0,0
2024-03-01,13,Chandigarh,Old Town Bypass,0.269,41.3,0,0
2024-03-01,17,Chandigarh,NH-44 Stretch,0.691,17.0,0,0
2024-03-01,20,Chandigarh,IT Corridor,0.856,6.5,1,0
