route_id,seq,lat,lon,ts,speed_kmph
RTE-00001,1,28.620097,77.207826,2024-02-02 20:00:00,20.3
RTE-00001,2,28.578713,77.234016,2024-02-02 20:19:00,42.4
RTE-00001,3,28.595274,77.200878,2024-02-02 20:18:00,40.0
RTE-00001,4,28.559491,77.236627,2024-02-02 20:33:00,34.3
RTE-00001,5,28.585885,77.286454,2024-02-02 20:12:00,28.2
RTE-00001,6,28.573047,77.284148,2024-02-02 21:05:00,27.3
RTE-00001,7,28.528155,77.32393,2024-02-02 21:24:00,24.0
RTE-00001,8,28.551018,77.343504,2024-02-02 20:49:00,48.2
RTE-00001,9,28.578582,77.300334,2024-02-02 22:08:00,31.3
RTE-00001,10,28.534325,77.275448,2024-02-02 22:51:00,33.2
RTE-00002,1,12.931875,77.596949,2024-06-03 07:12:00,32.8
RTE-00002,2,12.966404,77.633738,2024-06-03 07:16:00,32.5
RTE-00002,3,12.980858,77.602412,2024-03-06 07:22:00,49.4
RTE-00002,4,13.019065,77.567309,2024-06-03 08:09:00,35.4
RTE-00002,5,13.058206,77.555751,2024-06-03 07:24:00,20.9
RTE-00002,6,13.065925,77.584591,2024-06-03 08:27:00,30.9
RTE-00003,1,18.569008,73.821999,2024-11-10 06:23:00,28.1
RTE-00003,2,18.530384,73.807136,2024-11-10 06:40:00,33.0
RTE-00003,3,18.568109,73.792728,2024-11-10 06:45:00,41.8
RTE-00003,4,18.553134,73.776031,2024-11-10 06:41:00,33.7
RTE-00003,5,18.590612,73.730613,2024-11-10 06:55:00,21.5
RTE-00003,6,18.632609,73.770096,2024-10-11 07:13:00,40.8
RTE-00004,1,13.099905,80.315177,2024-05-15 16:44:00,32.0
RTE-00004,2,13.066422,80.321715,2024-05-15 17:03:00,19.7
RTE-00004,3,13.031891,80.365772,2024-05-15 17:22:00,51.2
RTE-00004,4,13.02297,80.339449,2024-05-15 17:08:00,28.1
RTE-00004,5,13.021017,80.367329,2024-05-15 17:32:00,41.0
RTE-00004,6,12.9724,80.387467,2024-05-15 17:24:00,23.4
RTE-00004,7,12.985845,80.374968,2024-05-15 17:50:00,41.9
RTE-00004,8,,80.339256,2024-05-15 18:15:00,52.7
RTE-00004,9,13.035794,80.31085,2024-05-15 18:36:00,31.5
RTE-00004,10,,80.272821,2024-05-15 00:00:00,36.8
RTE-00005,1,17.683166,83.238398,2024-04-27 08:44:00,28.1
RTE-00005,2,17.697302,83.252263,2024-04-27 09:02:00,13.8
RTE-00005,3,17.689537,83.242144,2024-04-27 09:04:00,30.7
RTE-00005,4,17.662486,83.250892,2024-04-27 09:23:00,41.6
RTE-00005,5,17.667113,83.226403,2024-04-27 10:04:00,48.8
RTE-00005,6,17.708872,83.182335,2024-04-27 09:49:00,35.9
RTE-00005,7,17.736804,83.211458,2024-04-27 09:14:00,32.1
RTE-00005,8,17.687609,83.203844,2024-04-27 09:26:00,6.1
RTE-00005,9,17.66612,83.169352,2024-04-27 10:52:00,30.2
RTE-00005,10,17.705523,83.197076,2024-04-27 00:00:00,18.7
RTE-00005,11,17.697889,83.205912,2024-04-27 12:04:00,38.8
RTE-00005,12,17.687574,83.190671,2024-04-27 09:17:00,40.7
RTE-00005,13,17.736065,83.157267,2024-04-27 10:20:00,56.2
RTE-00005,14,17.759171,83.109131,2024-04-27 11:46:00,37.8
RTE-00006,1,30.763649,76.738773,2025-02-25 14:23:00,37.7
RTE-00006,2,30.725222,76.706251,2025-02-25 14:26:00,17.6
RTE-00006,3,30.688593,76.715775,2025-02-25 14:51:00,33.8
RTE-00006,4,30.687985,76.710727,2025-02-25 15:17:00,28.6
RTE-00006,5,30.656226,76.69717,2025-02-25 15:19:00,41.9
RTE-00006,6,30.612754,76.726127,2025-02-25 15:53:00,19.1
RTE-00006,7,30.589089,76.71938,2025-02-25 15:59:00,47.1
RTE-00006,8,30.627972,76.741023,2025-02-25 16:15:00,32.3
RTE-00006,9,30.668771,76.764917,2025-02-25 15:19:00,57.3
RTE-00006,10,30.658859,76.748668,2025-02-25 15:35:00,38.1
RTE-00006,11,30.668698,76.722781,2025-02-25 17:43:00,22.5
RTE-00006,12,30.62399,76.682796,2025-02-25 16:13:00,24.1
RTE-00007,1,28.419675,77.054118,2024-01-20 14:44:00,42.3
RTE-00007,2,28.42037,77.077213,2024-01-20 14:48:00,19.7
RTE-00007,3,28.39391,77.066594,2024-01-20 15:16:00,32.5
RTE-00007,4,28.387552,77.030855,2024-01-20 15:08:00,
RTE-00007,5,28.408476,77.05677,2024-01-20 15:44:00,
RTE-00007,6,28.434931,77.073946,2024-01-20 16:14:00,28.8
RTE-00007,7,28.428227,77.078539,2024-01-20 16:02:00,27.4
RTE-00007,8,28.380861,77.049217,2024-01-20 17:04:00,36.8
RTE-00007,9,28.335436,77.082798,2024-01-20 16:44:00,33.3
RTE-00007,10,28.340471,77.059555,2024-01-20 17:17:00,42.7
RTE-00007,11,28.332452,77.089088,2024-01-20 18:04:00,25.9
RTE-00008,1,22.619967,88.391294,2024-08-10 14:17:00,44.3
RTE-00008,2,22.625716,88.41625,2024-10-08 14:28:00,43.0
RTE-00008,3,22.589475,88.424605,2024-08-10 14:47:00,
RTE-00008,4,22.555604,88.416569,2024-08-10 15:17:00,7.7
RTE-00009,1,26.185982,91.7232,2024-05-26 19:23:00,15.0
RTE-00009,2,26.218113,91.7622,2024-05-26 19:32:00,36.2
RTE-00009,3,26.206465,91.733544,2024-05-26 19:47:00,16.8
RTE-00009,4,26.222565,91.713607,2024-05-26 00:00:00,
RTE-00010,1,22.547147,88.371739,2024-11-26 11:44:00,35.7
RTE-00010,2,22.500681,88.360149,2024-11-26 11:48:00,43.3
RTE-00010,3,22.48469,88.382157,2024-11-26 12:12:00,34.5
RTE-00010,4,22.454527,88.356547,2024-11-26 12:38:00,53.8
RTE-00010,5,22.450438,88.314843,2024-11-26 12:48:00,43.8
RTE-00010,6,22.425544,88.32558,2024-11-26 12:24:00,24.1
RTE-00010,7,22.405163,88.277878,2024-11-26 13:08:00,32.8
RTE-00010,8,22.418191,88.256177,2024-11-26 12:05:00,35.2
RTE-00010,9,22.443372,88.2529,2024-11-26 13:52:00,38.8
