date,city,humidity_pct,precipitation_mm,wind_speed_kmph,visibility_km,condition,storm_alert,temp_c
2024-01-01,Chennai,58,1.6,26.6,8.6,Cloudy,0,18.5
2024-01-02,Chennai,77,1.7,14.2,9.3,Clear,0,30.944444444444443
2024-03-01,Chennai,39,0.8,28.3,4.2,Clear,0,25.8
2024-01-04,Chennai,61,2.0,30.2,4.0,Clear,0,25.055555555555554
2024-01-05,Chennai,96,1.8,23.0,9.4,Sunny,0,24.2
2024-01-06,Chennai,36,0.1,12.0,8.7,Clear,0,26.888888888888893
2024-07-01,Chennai,86,1.8,24.9,4.1,Cloudy,0,22.9
2024-08-01,Chennai,50,38.4,2.7,8.8,Heavy Rain,0,22.9
2024-01-09,Chennai,75,30.2,35.1,9.9,Thunderstorm,1,27.1
2024-10-01,Chennai,86,1.1,39.7,10.8,Clear,0,27.0
2024-01-11,Chennai,56,1.8,2.0,11.6,Clear,0,23.4
2024-01-12,Chennai,74,1.9,2.3,1.9,Fog,0,29.5
2024-01-13,Chennai,96,1.2,20.0,9.0,Clear,0,31.5
2024-01-14,Chennai,96,1.0,29.2,10.2,Clear,0,24.5
2024-01-15,Chennai,52,1.1,18.8,8.3,Cloudy,0,24.4
2024-01-16,Chennai,61,0.4,21.2,9.2,Clear,0,23.1
2024-01-17,Chennai,35,1.8,33.7,5.9,Sunny,0,26.6
2024-01-18,Chennai,44,1.5,18.4,9.6,Clear,0,26.7
2024-01-19,Chennai,,0.6,19.8,7.9,Clear,0,22.5
2024-01-20,Chennai,70,0.7,35.1,11.6,Cloudy,0,23.4
2024-01-21,Chennai,62,0.1,44.8,6.6,Clear,0,28.3
2024-01-22,Chennai,70,0.4,17.4,7.2,Cloudy,0,28.8
2024-01-23,Chennai,28,1.2,31.1,5.7,Clear,0,28.5
2024-01-24,Chennai,54,1.4,25.7,6.6,Cloudy,0,30.0
2024-01-25,Chennai,81,64.4,33.1,10.5,Heavy Rain,1,29.9
2024-01-26,Chennai,89,0.8,36.7,5.6,Cloudy,0,25.1
2024-01-27,Chennai,74,1.4,43.9,9.4,Clear,0,27.77777777777778
2024-01-28,Chennai,41,0.9,8.7,2.0,Fog,0,25.5
2024-01-29,Chennai,75,68.9,42.2,5.1,Rain,1,34.0
2024-01-30,Chennai,89,0.4,42.0,6.9,Clear,0,25.8
2024-01-31,Chennai,85,68.0,7.0,6.6,Rain,0,28.2
2024-01-02,Chennai,94,1.0,19.9,6.6,Cloudy,0,22.22222222222222
2024-02-02,Chennai,64,1.7,37.2,8.7,Cloudy,0,26.333333333333336
2024-02-03,Chennai,79,1.8,26.0,6.7,Clear,0,27.0
2024-04-02,Chennai,30,111.4,38.3,10.1,Rain,0,33.4
2024-02-05,Chennai,67,0.2,36.9,0.8,Fog,0,28.9
2024-06-02,Chennai,46,1.0,30.8,7.2,Cloudy,0,27.1
2024-02-07,Chennai,64,104.8,12.7,8.6,Heavy Rain,1,29.9
2024-02-08,Chennai,36,0.1,44.1,11.3,Cloudy,0,33.4
2024-02-09,Chennai,,0.7,32.6,11.5,Sunny,0,27.0
