vehicle_id,vehicle_type,model_name,capacity_kg,max_range_km,avg_speed_kmph,hub_code,purchase_date,odometer_km,fleet_status,driver_id,battery_capacity_wh,last_service_date,insurance_expiry,ownership
VEH-0001,Drone,Tamira-879,1.4,16.6,54,HUB-GUR,17-12-2021,62287.3,In Service,,5660.0,10-07-2024,23-01-2025,3PL Partner
VEH-0002,Drone,Tamira-998,2.8,10.5,51,HUB-NAG,26-06-2019,228496.0,Maintenance,,5154.0,2024-07-09 00:00:00,21-06-2024,Leased
VEH-0003,Drone,Nexon-730,5.8,22.7,60,HUB-JAI,26-05-2023,56173.9,under maintenance,,6978.0,16-06-2025,20-09-2024,Owned
VEH-0004,Drone,Tamira-332,5.4,10.7,57,HUB-JAI,2021-06-03 00:00:00,62245.1,Idle,,3879.0,01-05-2025,16-12-2024,Owned
VEH-0005,Drone,Kaveri-271,5.3,14.9,59,HUB-DEL,31/12/2018 00:00,256229.3,under maintenance,,5856.0,26-01-2025,29-02-2024,Leased
VEH-0006,Drone,Nexon-364,1.9,14.5,53,HUB-AHM,27-08-2021,22487.6,Active,,7266.0,2025-06-20 00:00:00,22-12-2024,3PL Partner
VEH-0007,Drone,Aravind-179,4.3,13.6,52,HUB-KOL,2018-10-17 00:00:00,45274.2,active,,8744.0,19-04-2025,12-05-2024,3PL Partner
VEH-0008,Drone,Kaveri-893,3.9,8.8,53,HUB-CHA,11/10/2017 00:00,33216.5,under maintenance,,3060.0,2024-05-08 00:00:00,03-07-2024,3PL Partner
VEH-0009,Drone,Nexon-742,4300 g,29.0,51,HUB-NAG,14/07/2022 00:00,128423.7,active,,5519.0,20-01-2025,18-01-2025,Owned
VEH-0010,Drone,Zenith-423,2.8,11.5,49,HUB-GUW,2017-08-07 00:00:00,172981.4,ACTIVE,,4327.0,2025-01-10 00:00:00,16-11-2025,Owned
VEH-0011,Drone,Kaveri-475,1.8,25.1,61,HUB-MYS,29-07-2020,162387.1,Retired,,2016.0,06-01-2024,25-10-2023,Leased
VEH-0012,Drone,Nexon-390,5.4,15.6,51,HUB-MAD,2021-01-28 00:00:00,94117.3,Maintenance,,3346.0,11-02-2025,14-09-2024,3PL Partner
VEH-0013,Drone,Zenith-948,4.9,27.2,55,HUB-BEN,13/06/2021 00:00,73699.8,active,,5213.0,24-06-2024,01-01-2024,Owned
VEH-0014,Drone,Aravind-339,4.0,27.4,49,HUB-DEL,12/03/2020 00:00,213119.4,Idle,,2249.0,2024-08-06 00:00:00,28-02-2025,3PL Partner
VEH-0015,Drone,Kaveri-997,1.4,23.9,50,HUB-BEN,10/12/2022 00:00,241627.4,ACTIVE,,6755.0,28-03-2025,16-09-2024,3PL Partner
VEH-0016,Drone,Aravind-747,2.5,29.4,61,HUB-NAG,28-07-2023,17537.1,under maintenance,,3515.0,26-12-2024,28-11-2025,Owned
VEH-0017,Drone,Aravind-556,3.5,11.4,50,HUB-CHE,02/01/2019 00:00,213750.0,under maintenance,,4093.0,2024-10-11 00:00:00,30-11-2025,Owned
VEH-0018,Drone,Meridian-738,4.5,10.5,60,HUB-KOL,2020-09-27 00:00:00,257604.6,Active,,3835.0,25-07-2024,05-10-2024,3PL Partner
VEH-0019,Drone,Kaveri-173,4.8,26.4,59,HUB-DEL,27/09/2021 00:00,50055.6,Active,,8799.0,26-07-2024,14-02-2024,3PL Partner
VEH-0020,Drone,Zenith-123,2.3,23.0,61,HUB-NAG,09/02/2023 00:00,51766.8,In Service,,2705.0,18-01-2025,31-05-2025,Owned
VEH-0021,Drone,Aravind-818,1.0,13.9,61,HUB-PUN,07-07-2021,113228.6,active,,7857.0,24-01-2024,09-12-2024,Owned
VEH-0022,Drone,Aravind-380,3.3,20.2,60,HUB-COI,2022-04-15 00:00:00,205854.1,Retired,,3824.0,2024-09-17 00:00:00,21-01-2025,Leased
VEH-0023,Drone,UrbanCraft-104,4.8,16.4,54,HUB-GUR,25-10-2022,156177.2,Active,,3345.0,2024-06-22 00:00:00,17-02-2024,3PL Partner
VEH-0024,Drone,Tamira-456,1.5 kg,18.1,50,HUB-NAG,2019-09-11 00:00:00,-,Maintenance,,7321.0,2024-01-12 00:00:00,12-12-2024,Leased
VEH-0025,Drone,Kaveri-474,4000 g,14.7,61,HUB-DEL,03-01-2022,6542.5,ACTIVE,,6058.0,13-06-2024,27-03-2025,Owned
VEH-0026,Drone,Kaveri-527,5.5,25.3,51,HUB-BEN,2020-02-26 00:00:00,148140.7,Active,,3023.0,13-08-2024,03-05-2025,3PL Partner
VEH-0027,Drone,Tamira-801,2.5,11.2,52,HUB-GUR,30/11/2017 00:00,237861.7,Maintenance,,4207.0,11-03-2024,22-07-2025,Owned
VEH-0028,Drone,Nexon-299,1.2,10.2,57,HUB-LUC,11/03/2021 00:00,31384.3,Idle,,4745.0,04-10-2024,15-08-2025,Leased
VEH-0029,Drone,Nexon-945,4.1,25.2,50,HUB-GUR,03/07/2022 00:00,206510.5,Idle,,8465.0,27-06-2024,22-07-2025,Owned
VEH-0030,Drone,Vayu-798,3.4,8.4,57,HUB-PUN,22/04/2022 00:00,24815.1,In Service,,3132.0,15-05-2025,12-02-2024,3PL Partner
VEH-0031,Drone,Tamira-214,2.4,9.0,59,HUB-KOC,27-08-2018,89574.2,In Service,,7492.0,16-01-2024,09-02-2025,3PL Partner
VEH-0032,Drone,Meridian-527,3.4,15.4,52,HUB-PUN,16/09/2023 00:00,153768.6,Active,,3737.0,27-03-2025,13-05-2024,Leased
VEH-0033,Drone,Vayu-960,5.6,21.1,55,HUB-CHA,28/02/2020 00:00,37133.3,Idle,,2068.0,2024-04-16 00:00:00,02-10-2024,3PL Partner
VEH-0034,Drone,Zenith-172,5.7 kg,20.8,54,HUB-BHU,2021-03-18 00:00:00,8736.4,Active,,2240.0,2024-02-28 00:00:00,03-03-2025,Owned
VEH-0035,Drone,Nexon-430,2.9,23.7,59,HUB-BEN,2022-03-31 00:00:00,8889.3,active,,6058.0,26-04-2025,10-11-2024,Owned
VEH-0036,Drone,Vayu-775,2.8,9.0,50,HUB-GUW,05-09-2019,36059.3,Idle,,4985.0,20-05-2025,20-11-2024,3PL Partner
VEH-0037,Drone,Aravind-463,5.9,8.6,54,HUB-BHU,2019-06-05 00:00:00,228560.4,Maintenance,,3455.0,2024-03-07 00:00:00,17-10-2023,3PL Partner
VEH-0038,Drone,Zenith-351,1.1,29.9,52,HUB-GUW,01/08/2021 00:00,194339.4,active,,5447.0,2025-04-26 00:00:00,01-06-2024,Leased
VEH-0039,Drone,Nexon-817,4.8,14.8,51,HUB-HYD,26/12/2017 00:00,246189.7,Idle,,5623.0,2024-01-06 00:00:00,11-02-2024,Leased
VEH-0040,Drone,Nexon-357,3.0,19.3,61,HUB-BHU,14-06-2023,53150.9,active,,5601.0,2025-04-26 00:00:00,16-11-2024,Leased
VEH-0041,Drone,Aravind-410,1.6,8.0,50,HUB-HYD,01/02/2020 00:00,254025.3,Maintenance,,7405.0,2025-06-10 00:00:00,01-04-2024,3PL Partner
VEH-0042,Drone,UrbanCraft-471,1.2,23.5,60,HUB-GUW,29/10/2020 00:00,30137.5,Retired,,4724.0,2024-10-20 00:00:00,01-09-2025,Leased
VEH-0043,Drone,UrbanCraft-416,2.4,23.8,50,HUB-HYD,04/08/2017 00:00,220780.5,Maintenance,,4754.0,2024-12-21 00:00:00,19-04-2025,Leased
VEH-0044,Drone,Nexon-671,1.6,10.2,61,HUB-KOC,2022-08-20 00:00:00,6870.7,Retired,,8434.0,22-02-2025,25-06-2025,3PL Partner
VEH-0045,Drone,Nexon-465,4.2,17.7,61,HUB-GUW,06-10-2023,unknown,ACTIVE,,2568.0,2024-05-20 00:00:00,10-10-2024,3PL Partner
VEH-0046,Drone,Nexon-302,4.5,-8.6,53,HUB-HYD,2018-05-04 00:00:00,146805.7,ACTIVE,,5298.0,19-06-2025,06-10-2025,Owned
VEH-0047,Drone,Vayu-518,4.9,9.2,55,HUB-GUR,28-11-2020,237938.8,active,,7969.0,2024-05-04 00:00:00,06-03-2024,Leased
VEH-0048,drone,Vayu-253,1.9 kg,29.6,53,HUB-DEL,03-06-2022,29988.8,under maintenance,,4262.0,23-12-2024,06-07-2024,Owned
VEH-0049,Drone,Nexon-207,3.8,14.6,57,HUB-CHE,23-06-2023,25199.3,Idle,,5108.0,2024-05-02 00:00:00,01-02-2025,Owned
VEH-0050,Drone,Nexon-321,2.5,24.0,56,HUB-DEL,09/11/2021 00:00,57969.4,Retired,,4390.0,2024-08-15 00:00:00,20-01-2025,Owned
VEH-0051,Drone,Aravind-412,1.3,27.3,56,HUB-GUR,2021-06-21 00:00:00,123777.3,Maintenance,,4263.0,21-02-2024,07-09-2025,Leased
VEH-0052,Drone,Vayu-875,4.7KG,20.4,52,HUB-PUN,2019-12-08 00:00:00,103112.9,Idle,,2457.0,2024-10-08 00:00:00,03-08-2024,Leased
VEH-0053,Drone,Zenith-747,3.2KG,11.9,50,HUB-LUC,07/04/2022 00:00,32833.8,Active,,6259.0,2024-08-08 00:00:00,09-09-2024,Owned
VEH-0054,Drone,Tamira-357,3.5,9.8,61,HUB-GUW,2018-04-21 00:00:00,12878.0,active,,5262.0,2025-03-18 00:00:00,16-10-2023,Leased
