order_id,customer_id,product_id,quantity,order_date,origin_hub,origin_city,destination_city,destination_state,destination_pincode,destination_lat,destination_lon,distance_km,package_weight,package_dimensions_cm,is_fragile,is_hazmat,cold_chain_required,delivery_priority,payment_mode,order_value_inr,weather_condition_at_dest,assigned_vehicle_id,promised_eta_hours,actual_delivery_hours,delivery_cost_inr,transport_mode,order_status
ORD-011545,CUST-02608,PRD-00356,3,06-05-2024,HUB-LUC,Lucknow,CHANDIGARH,CH,160017,30.764098,76.76613,596.23,16.89KG,,False,0,False,ECONOMY,Card,"₹79,382.91",Cloudy,VEH-0680,22.6,17.72,1682.59,truck,DELIVERED
ORD-008131,CUST-03997,PRD-00200,3,2024-12-27T12:23:00Z,HUB-CHE,Chennai,Chennai,TN,600001,13.009263,80.390385,15.32 km,87540 g,40x25x10,1,0,False,EXPRESS,UPI,225352.59,Fog,VEH-0421,3.2,3.01,188.03,Van,delivered
ORD-005235,CUST-00315,PRD-00222,1,2024-11-18T12:58:00Z,HUB-BEN,Bengaluru,Bengaluru,KA,560001,12.880754,77.535122,11.98,104.66,85x30x49,0,0,False,express,COD,49417.12,Clear,VEH-0523,1.6,1.29,283.37,Van,In Transit
ORD-001394,CUST-04067,PRD-00155,4,2024/08/29 11:05,HUB-MAD,Madurai,Madurai,TN,625001,9.94025,78.145166,3.24,59.44,,False,0,False,STANDARD,Prepaid,"₹200,811.44",Rain,VEH-0614,5.8,5.51,212.46,truck,DELIVERED
ORD-011091,CUST-04320,PRD-00201,4,2025-04-28 21:44:00,HUB-AHM,Ahmedabad,Guwahati,AS,781001,26.101207,91.694804,1962.16,96.92,84x13x31,1,0,False,STANDARD,prepaid,523513.96,Heavy Rain,VEH-0649,75.1,57.61,5397.55,Truck,Delivered
ORD-005379,CUST-02858,PRD-00806,2,2024-11-02T09:00:00Z,HUB-MUM,Mumbai,Mumbai,MH,400001,19.056308,72.834798,5.01,1.54,67*20*47,No,0,False,Standard,Prepaid,"₹374,218.58",Clear,VEH-0018,0.4,0.33,18.01,Drone,Delivered
ORD-011641,CUST-02822,PRD-00612,4,2024-10-28T13:12:00Z,HUB-DEL,Delhi,Bhubaneswar,OD,751001,20.261317,85.84156,1274.31,6080 g,83x26x32,True,1,False,express,Prepaid,750203.20,Fog,VEH-0721,14.2,9.24,12399.36,AIR CARGO,In Transit
ORD-006654,CUST-04034,PRD-00197,2,1736093520,HUB-CHA,Chandigarh,Chandigarh,CH,160017,30.790168,76.802457,6.7,11.58KG,41*38*30,1,0,False,EXPRESS,UPI,210888.00,Clear,VEH-0289,1.1,1.02,70.85,bike,Returned
ORD-012807,CUST-04323,PRD-00028,1,21/02/2025 09:31,HUB-CHA,Chandigarh,Chennai,TN,600001,13.057221,80.300841,1998.4,0.59,70*46*50,1,0,False,exp,Card,"₹150,012.06",Rain,VEH-0713,17.1,11.8,19237.85,AIR CARGO,Pending
ORD-002865,CUST-03108,PRD-00447,2,1708513200,HUB-JAI,Jaipur,Jaipur,RJ,302001,26.941291,75.774611,3.45,2.66,48 x 31 x 43,Yes,0,False,Standard,Prepaid,334400.18,Sunny,VEH-0007,0.4,0.3,-1.26,Drone,Delivered
ORD-007668,CUST-00386,PRD-00150,4,2025/02/09 16:05,HUB-GUR,Gurugram,Ahmedabad,GJ,380001,23.023652,72.593891,749.8 km,78.88,,False,0,False,exp,COD,"₹497,425.08",Thunderstorm,VEH-0694,29.6,23.52,2248.49,Truck,delivered
ORD-013904,CUST-03613,PRD-00465,4,2025-02-20 12:12:00,HUB-HYD,Hyderabad,Guwahati,AS,781001,26.173967,91.759876,1681.34,-7.04,,False,0,False,Standard,Prepaid,574191.24,Clear,VEH-0630,59.7,40.59,4496.48,Truck,Returned
ORD-007410,CUST-01083,PRD-00494,1,NA,HUB-HYD,Hyderabad,Hyderabad,TS,500001,17.353216,78.448951,5.34,0.95,,True,0,False,Same-Day,COD,100930.10,Fog,VEH-0035,2.9,null,283.18,DRONE,Delivered
ORD-014936,CUST-03277,PRD-00430,4,28-03-2025,HUB-GUW,Guwahati,Guwahati,AS,781001,26.209652,91.665522,10.11,1.12,28x22x14,False,0,False,std,UPI,"₹753,984.32",Sunny,VEH-0295,1.3,0.93,32.09,Bike,Delivered
ORD-004601,CUST-01202,PRD-00410,4,2024-12-22T21:23:00Z,HUB-HYD,Hyderabad,BHUBANESWAR,OD,751001,20.249433,85.793546,832.26,65.56,43*50*7,No,0,False,STANDARD,UPI,143310.84,clear,VEH-0657,37.5,25.17,2410.33,truck,Cancelled
ORD-014639,CUST-01616,PRD-00277,4,2024-11-22 20:12:00,HUB-MUM,Mumbai,Hyderabad,TS,500001,17.429078,78.466887,617.93,118.64,,False,0,False,Economy,UPI,431559.44,Rain,VEH-0644,21.4,17.87,1969.82,null,DELIVERED
ORD-009316,CUST-03498,PRD-00254,2,14/02/2025 18:12,HUB-DEL,Delhi,Coimbatore,TN,641001,11.011124,76.980369,1957.48 km,111.52,15*17*35,False,0,False,STANDARD,COD,206347.56,Clear,VEH-0652,64.6,51.44,5392.36,Truck,delivered
ORD-000677,CUST-04433,PRD-00500,3,2024/11/18 18:44,HUB-LUC,Lucknow,Lucknow,UP,226001,80.852782,26.893439,10.62,5.25KG,17x27x14,False,0,False,express,cod,492650.64,Rain,VEH-0285,1.9,1.44,40.32,Bike,Delivered
ORD-008718,CUST-01904,PRD-00533,1,2025-06-20 18:17:00,HUB-BHU,Bhubaneswar,Chennai,TN,600001,13.105557,80.306754,991.99,1.36,,True,0,False,STANDARD,UPI,151650.44,Clear,VEH-0582,40.5,29.75,2699.69,Truck,In Transit
ORD-010155,CUST-00041,PRD-00510,2,2024/07/13 14:00,HUB-BHU,Bhubaneswar,Ahmedabad,GJ,380001,23.005857,72.587553,1400.24 km,-,51x29x25,False,0,False,STANDARD,prepaid,"₹333,310.88",Cloudy,VEH-0685,50.7,33.71,3781.24,Truck,In Transit
ORD-009823,CUST-04608,PRD-00514,3,May 25 2025 01:00 PM,HUB-NAG,Nagpur,Gurugram,HR,122001,28.432289,77.028633,836.41,2.4,,False,0,False,exp,UPI,437841.72,Clear,VEH-0721,9.1,8.31,8212.49,air cargo,Delivered
ORD-007498,  ,PRD-00576,1,25-05-2025,HUB-KOL,Kolkata,Kolkata,WB,700001,22.544689,88.350966,3.38,1.86,75*55*21,False,1,False,express,UPI,177052.89,Thunderstorm,VEH-0191,3.3,2.39,53.59,BIKE,delivered
ORD-006048,CUST-04287,PRD-00666,1,2024-09-22 09:23:00,HUB-PUN,Pune,Kolkata,WB,700001,22.597553,88.374387,1577.09,1441.8,43 x 12 x 18,False,1,False,std,Card,18111.90,Sunny,VEH-0681,56.4,43.77,6842.68,Truck,In Transit
ORD-013080,CUST-00664,PRD-00062,4,24/03/2025 21:05,HUB-BEN,Bengaluru,Chennai,TN,600001,13.063975,80.223976,285.04,4.24,,True,0,False,Standard,cod,164542.16,Sunny,VEH-0720,9.8,6.6,2966.4,air cargo,In Transit
ORD-003909,CUST-01664,PRD-00814,1,2025-05-20 16:58:00,HUB-AHM,Ahmedabad,Jaipur,RJ,302001,26.883681,75.776213,537.27,3.31,,Yes,0,False,same-day,Prepaid,"₹38,563.97",null,VEH-0644,24.0,16.76,1785.86,Truck,Delivered
ORD-013610,CUST-01093,PRD-00354,3,,HUB-CHE,Chennai,HYDERABAD,TS,500001,17.398444,78.469744,517.3,74.64,,True,0,False,standard,UPI,409289.76,Cloudy,VEH-0630,20.3,17.3,1570.48,Truck,In Transit
ORD-000569,CUST-00917,PRD-00501,3,2025-04-22 11:44:00,HUB-AHM,Ahmedabad,AHMEDABAD,GJ,380001,22.944505,72.66133,12.65,0.72KG,,False,0,False,express,cod,221595.81,Cloudy,VEH-0329,1.7,1.56,41.28,Bike,In Transit
ORD-004895,CUST-00971,PRD-00683,4,07/10/2024 17:58,HUB-AHM,Ahmedabad,Nagpur,MH,440001,21.098088,79.050438,701.05,12897.0,24x60x27,False,1,False,std,COD,705055.84,Rain,VEH-0632,22.8,19.22,25141.52,Truck,Delivered
ORD-008496,CUST-04698,PRD-00236,4,2025-02-23 20:17:00,HUB-KOC,Kochi,Kochi,KL,682001,9.924327,76.302243,3.9,289.2,,No,0,False,standard,Prepaid,656521.84,Cloudy,VEH-0438,1.6,1.34,578.06,Van,Delivered
ORD-010493,CUST-00385,PRD-00272,2,2024-05-06 10:00:00,HUB-COI,Coimbatore,Coimbatore,TN,641001,10.992142,76.938079,3.36,190.22,72x41x34,1,0,False,Standard,prepaid,"₹21,710.68",Cloudy,VEH-0446,1.9,1.83,387.41,van,In Transit
ORD-014884,CUST-00604,PRD-00011,1,2025-06-02 08:17:00,HUB-PUN,Pune,Pune,MH,411001,18.58811,73.927494,10.6,2.39,45 x 55 x 29,1,0,False,Same-Day,cod,98324.55,Cloudy,VEH-0091,0.4,0.39,255.13,Drone,In Transit
ORD-003259,CUST-00755,PRD-00150,2,2024/03/19 17:17,HUB-HYD,Hyderabad,Pune,MH,411001,18.547025,73.835924,508.59,39.44 kg,52*50*7,False,0,False,express,Card,248712.54,Cloudy,VEH-0606,20.7,16.37,1529.77,truck,Delivered
 ORD-004428 ,CUST-04794,PRD-00033,1,2024/11/08 20:31,HUB-MUM,Mumbai,Kolkata,WB,700001,22.575736,88.387733,1657.31 km,0.43,,Yes,0,False,exp,COD,179832.26,Cloudy,VEH-0722,13.7,9.07,16044.15,Air Cargo,Delivered
ORD-004097,CUST-04280,PRD-00780,3,2024-07-17 07:44:00,HUB-VIS,Visakhapatnam,Visakhapatnam,AP,530001,17.708159,83.216078,2.39 km,10.8,,False,0,False,Standard,Prepaid,"₹198,772.83",Clear,VEH-0160,0.4,0.3,80.39,Bike,Delivered
ORD-007587,CUST-02029,PRD-00198,3,26/06/2024 07:05,HUB-MUM,Mumbai,Coimbatore,TN,641001,10.997484,76.908454,996.95,120120 g,56 x 54 x 50,0,0,False,express,cod,287626.77,Rain,VEH-0712,11.9,8.62,9972.23,AIR CARGO,Pending
ORD-012769,CUST-00425,PRD-00042,4,2025-03-01T19:58:00Z,HUB-CHA,Chandigarh,Chandigarh,CH,160017,30.82205,76.875648,13.49,11.36,,True,0,False,STANDARD,COD,448789.92,Rain,VEH-0222,1.9,1.75,11.55,bike,Delivered
ORD-001956,CUST-01205,PRD-00619,2,2025-03-20T09:58:00Z,HUB-VIS,Visakhapatnam,Visakhapatnam,AP,530001,17.754734,83.274292,9.59,5.16,55x44x30,No,1,True,express,COD,105932.52,Clear,VEH-0389,1.0,N/A,45.24,bike,Delivered
ORD-013067,CUST-04074,PRD-00147,2,2024-04-14T14:05:00Z,HUB-GUW,Guwahati,Guwahati,AS,781001,26.202794,91.651369,10.66,50.62,16x29x21,No,0,False,exp,Card,"₹222,833.10",Fog,VEH-0458,4.5,3.12,174.86,Van,In Transit
ORD-009222,CUST-02336,PRD-00637,3,25/02/2025 07:05,HUB-JAI,Jaipur,Gurugram,HR,122001,28.464767,77.042696,212.30,14.58,,False,1,True,STANDARD,Card,156312.57,Clear,VEH-0663,11.2,7.41,740.0,TRUCK,Delivered
ORD-008332,CUST-00403,PRD-00093,4,16/01/2024 14:23,HUB-GUW,Guwahati,Guwahati,AS,781001,26.076966,91.811392,10.62,3.16,,True,0,False,SameDay,prepaid,244682.88,rain,VEH-0314,4.1,2.89,273.65,bike,DELIVERED
ORD-004059,CUST-00545,PRD-00093,1,2025-05-24 20:58:00,HUB-BEN,Bengaluru,Delhi,DL,110001,28.655336,77.18721,1744.46,790 g,,1,0,False,standard,COD,61170.72,rain,VEH-0625,58.6,NA,4653.6,Truck,Delivered
ORD-007420,CUST-03632,PRD-00671,2,2024-04-05T06:00:00Z,HUB-HYD,Hyderabad,Hyderabad,TS,500001,17.376785,  ,4.93,1620.4,32*25*39,True,1,False,standard,UPI,8506.06,CLEAR,VEH-0629,5.1,3.42,3078.43,Truck,Returned
ORD-008549,CUST-03402,PRD-00213,1,29/05/2024 13:05,HUB-DEL,Delhi,Delhi,DL,110001,28.516216,77.327386,15.86,111.04,17*41*7,False,0,False,exp,Card,33643.6,Clear,VEH-0477,1.9,1.26,246.85,Van,In Transit
ORD-007341,CUST-00188,PRD-00519,3,2024-11-15 13:31:00,HUB-CHE,Chennai,Chennai,TN,600001,13.040077,-,13.24,3.45,66 x 48 x 14,0,0,False,std,prepaid,"₹546,975.93",clear,VEH-0197,1.8,1.52,64.96,Bike,Delivered
