Date,City Name,temp,Temp Unit,humidity_%,Precipitation (mm),wind_speed_kmph,Visibility_KM,condition,storm_alert
01-01-2024,Chennai,65.3,F,58,1.6,26.6,8.6,Cloudy,N
02-01-2024,Chennai,87.7,F,77,1.7,14.2,9.3,Clear,N
2024-01-03,Chennai,25.8,C,39,0.8,28.3,4.2,Clear,N
04-01-2024,Chennai,77.1,F,61,2.0,30.2,4.0,CLEAR,N
05-01-2024,Chennai,24.2,C,96,1.8,23.0,9.4,Sunny,N
06-01-2024,Chennai,80.4,F,36,0.1,12.0,8.7,Clear,N
2024-01-07,Chennai,22.9,,86,1.8,24.9,4.1,Cloudy,N
2024-01-08,Chennai,22.9,,50,38.4,2.7,8.8,Heavy Rain,N
09-01-2024,Chennai,27.1,,75,30.2,35.1,9.9,Thunderstorm,yes
2024-01-10,Chennai,27.0,,86,1.1,39.7,10.8,Clear,N
11-01-2024,Chennai,23.4,C,56,1.8,2.0,11.6,Clear,N
12-01-2024,Chennai,29.5,,74,1.9,2.3,1.9,Fog,N
2024-01-13,Chennai,31.5,,96,1.2,20.0,9.0,Clear,N
14-01-2024,Chennai,24.5,C,96,1.0,29.2,10.2,clear,N
15-01-2024,Chennai,24.4,C,52,1.1,18.8,8.3,Cloudy,N
2024-01-16,Chennai,23.1,,61,0.4,21.2,9.2,clear,N
2024-01-17,Chennai,26.6,,35,1.8,33.7,5.9,Sunny,N
18-01-2024,Chennai,26.7,C,44,1.5,18.4,9.6,Clear,N
19-01-2024,Chennai,22.5,C,NA,0.6,19.8,7.9,clear,N
20-01-2024,Chennai,23.4,C,70,0.7,35.1,11.6,Cloudy,N
21-01-2024,Chennai,28.3,,62,0.1,44.8,6.6,clear,N
22-01-2024,Chennai,28.8,C,70,0.4,17.4,7.2,Cloudy,N
23-01-2024,Chennai,28.5,C,28,1.2,31.1,5.7,CLEAR,N
2024-01-24,Chennai,86.0,F,54,1.4,25.7,6.6,Cloudy,N
25-01-2024,Chennai,29.9,C,81,64.4,33.1,10.5,Heavy Rain,Y
26-01-2024,Chennai,25.1,C,89,0.8,36.7,5.6,Cloudy,N
2024-01-27,Chennai,82.0,F,74,1.4,43.9,9.4,Clear,N
2024-01-28,Chennai,25.5,C,41,0.9,8.7,2.0,Fog,N
2024-01-29,Chennai,93.2,F,75,68.9,42.2,5.1,Rain,yes
30-01-2024,Chennai,25.8,C,89,0.4,42.0,6.9,Clear,N
2024-01-31,Chennai,28.2,C,85,68.0,7.0,6.6,rain,
2024-02-01,Chennai,72.0,F,94,1.0,19.9,6.6,Cloudy,N
02-02-2024,Chennai,79.4,F,64,1.7,37.2,8.7,Cloudy,N
03-02-2024,Chennai,27.0,C,79,1.8,26.0,6.7,Clear,N
2024-02-04,Chennai,33.4,,30,111.4,38.3,10.1,Rain,N
05-02-2024,Chennai,28.9,C,67,0.2,36.9,0.8,Fog,N
2024-02-06,Chennai,27.1,C,46,1.0,30.8,7.2,Cloudy,N
07-02-2024,Chennai,29.9,C,64,104.8,12.7,8.6,Heavy Rain,Y
08-02-2024,Chennai,33.4,,36,0.1,44.1,11.3,Cloudy,N
09-02-2024,Chennai,27.0,C,,0.7,32.6,11.5,Sunny,N
10-02-2024,Chennai,null,C,NA,2.0,29.5,6.9,Cloudy,N
2024-02-12,Chennai,25.4,C,82,1.5,12.2,11.5,Clear,N
13-02-2024,Chennai,26.2,C,42,1.8,31.5,11.8,clear,N
2024-02-14,Chennai,28.0,,53,105.2,40.3,10.3,Heavy Rain,N
2024-02-15,Chennai,31.6,,44,0.3,34.6,11.0,Cloudy,N
16-02-2024,Chennai,28.3,C,69,1.5,25.3,4.7,Sunny,N
2024-02-17,Chennai,31.3,C,71,68.9,6.8,9.1,Rain,N
18-02-2024,Chennai,30.2,C,49,113.7,17.2,9.9,Heavy Rain,Y
19-02-2024,Chennai,32.8,C,35,82.7,23.5,5.6,Heavy Rain,Y
20-02-2024,Chennai,36.3,,54,0.4,44.2,2.7,Fog,N
21-02-2024,Chennai,30.8,,40,1.4,35.5,7.2,Cloudy,N
22-02-2024,Chennai,25.6,C,30,1.6,2.3,11.8,Sunny,N
23-02-2024,Chennai,35.6,C,97,0.3,41.5,4.9,Clear,N
24-02-2024,Chennai,26.1,,60,49.7,11.2,4.9,Rain,N
2024-02-25,Chennai,27.9,C,37,111.2,24.5,4.8,Rain,no
