epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7884,1.54493,4.40442,1.41054,0.00012,0.05,4e-05,1e-05,1.20801,4.49356,1.24143,0.000308611,0.000308611,0.000308611
2,29.014,1.32936,3.60784,1.24236,0.00118,0.35,0.2485,0.15951,0.73417,4.35814,1.03759,0.000652058,0.000652058,0.000652058
3,42.7276,1.18844,2.92376,1.14338,0.00176,0.6,0.19027,0.17102,0.9113,4.25672,1.07932,0.000966175,0.000966175,0.000966175
4,56.248,1.26217,2.49667,1.14587,0.00194,0.6,0.50567,0.3279,1.10884,4.10597,1.12669,0.000979013,0.000979013,0.000979013
5,70.8735,1.14404,2.27599,1.06738,0.00217,0.65,0.2496,0.18007,0.9459,4.11532,1.06819,0.000935018,0.000935018,0.000935018
6,85.5854,1.07821,2.117,1.05354,0.00247,0.85,0.46399,0.31939,0.79194,3.75601,0.95211,0.000891022,0.000891022,0.000891022
7,100.015,0.99216,1.81184,1.06035,0.00233,0.8,0.61299,0.44512,0.76113,3.68064,0.93735,0.000847026,0.000847026,0.000847026
8,114.962,0.957,1.61335,1.01176,0.00264,0.8,0.54262,0.41162,0.83503,3.65835,0.96353,0.000803031,0.000803031,0.000803031
9,128.898,0.849,1.40982,0.95363,0.00325,1,0.66389,0.55385,0.78733,3.40697,0.95804,0.000759035,0.000759035,0.000759035
10,142.891,0.84731,1.3425,0.97436,0.86962,0.45,0.67082,0.58649,0.71329,3.29529,0.93426,0.00071504,0.00071504,0.00071504
11,156.938,0.76583,1.41306,0.96154,0.98468,0.34883,0.64913,0.57605,0.68827,3.21498,0.93514,0.000671044,0.000671044,0.000671044
12,170.853,0.81927,1.38028,0.97627,0.78084,0.2,0.79855,0.7251,0.69157,3.08657,0.93427,0.000627048,0.000627048,0.000627048
13,185.619,0.7504,1.29702,0.95644,0.97969,0.3245,0.96038,0.83887,0.62821,2.86301,0.89822,0.000583053,0.000583053,0.000583053
14,200.176,0.71006,1.21132,0.94453,0.92614,0.69255,0.995,0.87155,0.56643,2.36257,0.87306,0.000539057,0.000539057,0.000539057
15,214.165,0.69452,1.08981,0.90215,0.90135,0.95066,0.995,0.90563,0.54855,2.11366,0.85805,0.000495062,0.000495062,0.000495062
16,229.237,0.51268,1.17128,0.86399,0.90988,0.86451,0.995,0.87846,0.53852,2.12255,0.83868,0.000451066,0.000451066,0.000451066
17,242.878,0.53808,1.12539,0.8937,0.91882,0.69568,0.995,0.882,0.54408,2.33263,0.84194,0.00040707,0.00040707,0.00040707
18,256.557,0.47468,1.13558,0.84195,0.87148,1,0.995,0.92275,0.48129,1.92053,0.83279,0.000363075,0.000363075,0.000363075
19,270.634,0.45205,1.04586,0.85132,0.91559,0.9999,0.995,0.9402,0.46773,1.62028,0.82468,0.000319079,0.000319079,0.000319079
20,285.27,0.47161,0.97229,0.87681,0.95059,0.99283,0.995,0.9485,0.38971,1.34009,0.83284,0.000275084,0.000275084,0.000275084
21,299.491,0.4089,0.9374,0.85347,0.93925,1,0.995,0.94025,0.40921,1.27098,0.85324,0.000231088,0.000231088,0.000231088
22,313.256,0.4283,0.97965,0.83834,0.9338,0.99461,0.995,0.9369,0.38803,1.17191,0.85017,0.000187092,0.000187092,0.000187092
23,326.758,0.37254,0.93586,0.81439,0.93578,0.99645,0.995,0.9502,0.35799,1.13062,0.83639,0.000143097,0.000143097,0.000143097
24,340.292,0.38396,0.92709,0.81302,0.9462,1,0.995,0.9551,0.31566,1.04109,0.80637,9.91012e-05,9.91012e-05,9.91012e-05
25,353.796,0.39118,0.93649,0.82938,0.95283,1,0.995,0.9626,0.31211,1.00231,0.79688,5.51056e-05,5.51056e-05,5.51056e-05
