epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9255,1.49379,4.43382,1.33289,0.00162,0.6,0.08746,0.03761,1.20717,4.39688,1.15464,0.000308611,0.000308611,0.000308611
2,29.4865,1.13335,3.63904,1.15155,0.00157,0.55,0.23278,0.22242,0.90359,4.11929,0.98647,0.000611729,0.000611729,0.000611729
3,44.7237,1.09343,2.5926,1.08408,0.0021,0.75,0.32599,0.23126,0.86252,3.98678,0.93477,0.000841521,0.000841521,0.000841521
4,58.5466,1.00215,2.10634,1.08396,0.00188,0.7,0.53971,0.30693,0.88193,3.90578,0.97174,0.000781033,0.000781033,0.000781033
5,72.1296,0.97607,2.01633,1.0299,0.00267,0.95,0.48166,0.37102,0.90677,3.84377,0.98567,0.000671044,0.000671044,0.000671044
6,85.6153,0.8673,1.74354,1.00032,0.00284,1,0.60136,0.47117,0.84094,3.70159,0.92273,0.000561055,0.000561055,0.000561055
7,99.586,0.84302,1.6879,0.94442,0.00284,1,0.7633,0.63134,0.7904,3.59954,0.90712,0.000451066,0.000451066,0.000451066
8,113.244,0.7986,1.53806,0.93712,0.00293,1,0.80023,0.66246,0.62137,3.39939,0.84374,0.000341077,0.000341077,0.000341077
9,126.848,0.72026,1.38632,0.94405,0.00302,1,0.79869,0.712,0.6225,3.32338,0.83982,0.000231088,0.000231088,0.000231088
10,140.509,0.73536,1.40098,0.91703,0.8548,0.8,0.79769,0.72368,0.58197,3.14042,0.81855,0.000121099,0.000121099,0.000121099
